Year,data.Geography, Value 
2015,data.Canada," 55,750 "
2016,data.Canada," 56,094 "
2017,data.Canada," 58,575 "
2018,data.Canada," 60,196 "
2019,data.Canada," 61,466 "
2015,data.Newfoundland and Labrador," 59,004 "
2016,data.Newfoundland and Labrador," 59,534 "
2017,data.Newfoundland and Labrador," 63,777 "
2018,data.Newfoundland and Labrador," 64,619 "
2019,data.Newfoundland and Labrador," 67,527 "
2015,data.Prince Edward Island," 42,118 "
2016,data.Prince Edward Island," 43,383 "
2017,data.Prince Edward Island," 45,146 "
2018,data.Prince Edward Island," 45,849 "
2019,data.Prince Edward Island," 47,837 "
2015,data.Nova Scotia," 43,460 "
2016,data.Nova Scotia," 44,123 "
2017,data.Nova Scotia," 45,589 "
2018,data.Nova Scotia," 46,825 "
2019,data.Nova Scotia," 48,039 "
2015,data.New Brunswick," 44,084 "
2016,data.New Brunswick," 44,973 "
2017,data.New Brunswick," 46,735 "
2018,data.New Brunswick," 48,169 "
2019,data.New Brunswick," 49,218 "
2015,data.Quebec," 47,419 "
2016,data.Quebec," 48,532 "
2017,data.Quebec," 50,430 "
2018,data.Quebec," 52,535 "
2019,data.Quebec," 54,149 "
2015,data.Ontario," 55,477 "
2016,data.Ontario," 56,989 "
2017,data.Ontario," 58,633 "
2018,data.Ontario," 60,039 "
2019,data.Ontario," 61,315 "
2015,data.Manitoba," 51,031 "
2016,data.Manitoba," 51,211 "
2017,data.Manitoba," 53,405 "
2018,data.Manitoba," 54,025 "
2019,data.Manitoba," 53,897 "
2015,data.Saskatchewan," 71,081 "
2016,data.Saskatchewan," 66,633 "
2017,data.Saskatchewan," 69,769 "
2018,data.Saskatchewan," 71,311 "
2019,data.Saskatchewan," 70,730 "
2015,data.Alberta," 78,189 "
2016,data.Alberta," 72,519 "
2017,data.Alberta," 78,342 "
2018,data.Alberta," 79,963 "
2019,data.Alberta," 80,905 "
2015,data.British Columbia," 52,505 "
2016,data.British Columbia," 54,311 "
2017,data.British Columbia," 57,265 "
2018,data.British Columbia," 59,103 "
2019,data.British Columbia," 60,707 "
2015,data.Yukon," 69,939 "
2016,data.Yukon," 72,353 "
2017,data.Yukon," 72,676 "
2018,data.Yukon," 75,247 "
2019,data.Yukon," 76,114 "
2015,data.Northwest Territories," 106,721 "
2016,data.Northwest Territories," 99,666 "
2017,data.Northwest Territories," 103,072 "
2018,data.Northwest Territories," 105,333 "
2019,data.Northwest Territories," 100,871 "
2015,data.Nunavut," 66,351 "
2016,data.Nunavut," 69,831 "
2017,data.Nunavut," 80,728 "
2018,data.Nunavut," 87,906 "
2019,data.Nunavut," 95,535 "
