Year,data.Geography,data.Industry,Value
2015,data.Canada,"data.Total, all industries",0.01716483
2016,data.Canada,"data.Total, all industries",0.016816213
2017,data.Canada,"data.Total, all industries",0.017161676
2018,data.Canada,"data.Total, all industries",0.017090543
2019,data.Canada,"data.Total, all industries",0.017531492
2015,data.Canada,data.Utilities [BS220],0.559694607
2016,data.Canada,data.Utilities [BS220],0.568557891
2017,data.Canada,data.Utilities [BS220],0.587697759
2018,data.Canada,data.Utilities [BS220],0.592795472
2019,data.Canada,data.Utilities [BS220],0.612472889
2015,data.Canada,data.Engineering construction [BS23C],0.056102516
2016,data.Canada,data.Engineering construction [BS23C],0.052477201
2017,data.Canada,data.Engineering construction [BS23C],0.050022669
2018,data.Canada,data.Engineering construction [BS23C],0.042209556
2019,data.Canada,data.Engineering construction [BS23C],0.042640188
2015,data.Canada,data.Manufacturing [BS3A0],0.021994372
2016,data.Canada,data.Manufacturing [BS3A0],0.018980394
2017,data.Canada,data.Manufacturing [BS3A0],0.022220485
2018,data.Canada,data.Manufacturing [BS3A0],0.02401851
2019,data.Canada,data.Manufacturing [BS3A0],0.024071571
2015,data.Canada,"data.Professional, scientific and technical services [BS540]",0.031431428
2016,data.Canada,"data.Professional, scientific and technical services [BS540]",0.033323208
2017,data.Canada,"data.Professional, scientific and technical services [BS540]",0.035353489
2018,data.Canada,"data.Professional, scientific and technical services [BS540]",0.037405163
2019,data.Canada,"data.Professional, scientific and technical services [BS540]",0.04000353
2015,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",0.043089583
2016,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",0.046237337
2017,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",0.046754721
2018,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",0.049554573
2019,data.Canada,"data.Administrative and support, waste management and remediation services [BS560]",0.049488701
2015,data.Canada,data.Other industries,0.004072426
2016,data.Canada,data.Other industries,0.00408637
2017,data.Canada,data.Other industries,0.004212947
2018,data.Canada,data.Other industries,0.004287545
2019,data.Canada,data.Other industries,0.004325874
2015,data.Newfoundland and Labrador,"data.Total, all industries",0.054644526
2016,data.Newfoundland and Labrador,"data.Total, all industries",0.054911144
2017,data.Newfoundland and Labrador,"data.Total, all industries",0.056370709
2018,data.Newfoundland and Labrador,"data.Total, all industries",0.053254384
2019,data.Newfoundland and Labrador,"data.Total, all industries",0.056858532
2015,data.Newfoundland and Labrador,data.Utilities [BS220],0.845922747
2016,data.Newfoundland and Labrador,data.Utilities [BS220],0.889848812
2017,data.Newfoundland and Labrador,data.Utilities [BS220],0.914159292
2018,data.Newfoundland and Labrador,data.Utilities [BS220],0.963992172
2019,data.Newfoundland and Labrador,data.Utilities [BS220],1.092653061
2015,data.Newfoundland and Labrador,data.Engineering construction [BS23C],0.288180693
2016,data.Newfoundland and Labrador,data.Engineering construction [BS23C],0.305862362
2017,data.Newfoundland and Labrador,data.Engineering construction [BS23C],0.344071763
2018,data.Newfoundland and Labrador,data.Engineering construction [BS23C],0.340900819
2019,data.Newfoundland and Labrador,data.Engineering construction [BS23C],0.343439384
2015,data.Newfoundland and Labrador,data.Manufacturing [BS3A0],0.005007991
2016,data.Newfoundland and Labrador,data.Manufacturing [BS3A0],0.004817789
2017,data.Newfoundland and Labrador,data.Manufacturing [BS3A0],0.008412483
2018,data.Newfoundland and Labrador,data.Manufacturing [BS3A0],0.014154653
2019,data.Newfoundland and Labrador,data.Manufacturing [BS3A0],0.012476606
2015,data.Newfoundland and Labrador,"data.Professional, scientific and technical services [BS540]",0.027784578
2016,data.Newfoundland and Labrador,"data.Professional, scientific and technical services [BS540]",0.034354354
2017,data.Newfoundland and Labrador,"data.Professional, scientific and technical services [BS540]",0.023791822
2018,data.Newfoundland and Labrador,"data.Professional, scientific and technical services [BS540]",0.023981374
2019,data.Newfoundland and Labrador,"data.Professional, scientific and technical services [BS540]",0.024636058
2015,data.Newfoundland and Labrador,"data.Administrative and support, waste management and remediation services [BS560]",0.074896437
2016,data.Newfoundland and Labrador,"data.Administrative and support, waste management and remediation services [BS560]",0.072925764
2017,data.Newfoundland and Labrador,"data.Administrative and support, waste management and remediation services [BS560]",0.083095417
2018,data.Newfoundland and Labrador,"data.Administrative and support, waste management and remediation services [BS560]",0.095069904
2019,data.Newfoundland and Labrador,"data.Administrative and support, waste management and remediation services [BS560]",0.092020129
2015,data.Newfoundland and Labrador,data.Other industries,0.003881206
2016,data.Newfoundland and Labrador,data.Other industries,0.00380557
2017,data.Newfoundland and Labrador,data.Other industries,0.00369722
2018,data.Newfoundland and Labrador,data.Other industries,0.004022077
2019,data.Newfoundland and Labrador,data.Other industries,0.003954769
2015,data.Prince Edward Island,"data.Total, all industries",0.012302113
2016,data.Prince Edward Island,"data.Total, all industries",0.015922799
2017,data.Prince Edward Island,"data.Total, all industries",0.014012131
2018,data.Prince Edward Island,"data.Total, all industries",0.013629075
2019,data.Prince Edward Island,"data.Total, all industries",0.014168618
2015,data.Prince Edward Island,data.Utilities [BS220],0.379220779
2016,data.Prince Edward Island,data.Utilities [BS220],0.362025316
2017,data.Prince Edward Island,data.Utilities [BS220],0.302380952
2018,data.Prince Edward Island,data.Utilities [BS220],0.361445783
2019,data.Prince Edward Island,data.Utilities [BS220],0.441025641
2015,data.Prince Edward Island,data.Engineering construction [BS23C],0.043076923
2016,data.Prince Edward Island,data.Engineering construction [BS23C],0.100547645
2017,data.Prince Edward Island,data.Engineering construction [BS23C],0.076552363
2018,data.Prince Edward Island,data.Engineering construction [BS23C],0.039103139
2019,data.Prince Edward Island,data.Engineering construction [BS23C],0.033653008
