Year,data.Geography,Value,,,,,
2018,data.British Columbia,68.9,,,,,
2018,data.Alberta,95.3,,,,,
2018,data.Saskatchewan,98.4,,,,,
2018,data.Manitoba,83.3,,,,,
2018,data.Ontario,92.7,,,,,
2018,data.Quebec,88.6,,,,,
2018,data.New Brunswick,99.4,,,,,
2018,data.Nova Scotia,98.1,,,,,
2018,data.Prince Edward Island,99.9,,,,,
2018,data.Newfoundland and Labrador,64.7,,,,,
2018,data.Yukon,34.7,,,,,
2018,data.Northwest Territories,30.4,,,,,
2018,data.Nunavut,,,,,,
2018,data.Canada,87.2,,,,,
2019,data.British Columbia,71.8,,,,,
2019,data.Alberta,96,,,,,
2019,data.Saskatchewan,98.8,,,,,
2019,data.Manitoba,93.2,,,,,
2019,data.Ontario,93.4,,,,,
2019,data.Quebec,89.3,,,,,
2019,data.New Brunswick,99.4,,,,,
2019,data.Nova Scotia,98.3,,,,,
2019,data.Prince Edward Island,99.9,,,,,
2019,data.Newfoundland and Labrador,66.5,,,,,
2019,data.Yukon,34.9,,,,,
2019,data.Northwest Territories,31.7,,,,,
2019,data.Nunavut,,,,,,
2019,data.Canada,88.8,,,,,
