Year,Geography,data.Type of commute,Value
2016,Newfoundland and Labrador,data.Public transit,2.5
2016,Newfoundland and Labrador,data.Active transport,5.0
2016,"St. John's, Newfoundland and Labrador",data.Public transit,3.1
2016,"St. John's, Newfoundland and Labrador",data.Active transport,4.8
2016,Prince Edward Island,data.Public transit,1.4
2016,Prince Edward Island,data.Active transport,5.8
2016,Nova Scotia,data.Public transit,6.4
2016,Nova Scotia,data.Active transport,6.9
2016,"Halifax, Nova Scotia",data.Public transit,11.8
2016,"Halifax, Nova Scotia",data.Active transport,9.2
2016,New Brunswick,data.Public transit,2.3
2016,New Brunswick,data.Active transport,5.0
2016,"Moncton, New Brunswick",data.Public transit,3.4
2016,"Moncton, New Brunswick",data.Active transport,6.0
2016,"Saint John, New Brunswick",data.Public transit,4.1
2016,"Saint John, New Brunswick",data.Active transport,5.4
2016,Quebec,data.Public transit,13.7
2016,Quebec,data.Active transport,7.1
2016,"data.Montr�al, Quebec",data.Public transit,22.3
2016,"data.Montr�al, Quebec",data.Active transport,7.2
2016,"Ottawa - Gatineau (Quebec part), Quebec",data.Public transit,14.5
2016,"Ottawa - Gatineau (Quebec part), Quebec",data.Active transport,6.0
2016,"data.Qu�bec, Quebec",data.Public transit,11.1
2016,"data.Qu�bec, Quebec",data.Active transport,7.6
2016,"Saguenay, Quebec",data.Public transit,2.2
2016,"Saguenay, Quebec",data.Active transport,4.3
2016,"Sherbrooke, Quebec",data.Public transit,4.2
2016,"Sherbrooke, Quebec",data.Active transport,6.3
2016,"data.Trois-Rivi�res, Quebec",data.Public transit,2.3
2016,"data.Trois-Rivi�res, Quebec",data.Active transport,5.3
2016,Ontario,data.Public transit,14.6
2016,Ontario,data.Active transport,6.5
2016,"Barrie, Ontario",data.Public transit,4.3
2016,"Barrie, Ontario",data.Active transport,4.1
2016,"Belleville, Ontario",data.Public transit,2.3
2016,"Belleville, Ontario",data.Active transport,6.2
2016,"Brantford, Ontario",data.Public transit,3.1
2016,"Brantford, Ontario",data.Active transport,4.6
2016,"Greater Sudbury / Grand Sudbury, Ontario",data.Public transit,4.9
2016,"Greater Sudbury / Grand Sudbury, Ontario",data.Active transport,4.9
2016,"Guelph, Ontario",data.Public transit,6.4
2016,"Guelph, Ontario",data.Active transport,6.9
2016,"Hamilton, Ontario",data.Public transit,9.8
2016,"Hamilton, Ontario",data.Active transport,5.1
2016,"Kingston, Ontario",data.Public transit,6.8
2016,"Kingston, Ontario",data.Active transport,9.5
2016,"Kitchener - Cambridge - Waterloo, Ontario",data.Public transit,6.0
2016,"Kitchener - Cambridge - Waterloo, Ontario",data.Active transport,5.5
2016,"London, Ontario",data.Public transit,7.2
2016,"London, Ontario",data.Active transport,6.7
2016,"Oshawa, Ontario",data.Public transit,9.6
2016,"Oshawa, Ontario",data.Active transport,3.4
2016,"Ottawa - Gatineau (Ontario part), Ontario",data.Public transit,19.6
2016,"Ottawa - Gatineau (Ontario part), Ontario",data.Active transport,9.6
2016,"Peterborough, Ontario",data.Public transit,3.9
2016,"Peterborough, Ontario",data.Active transport,8.3
2016,"St. Catharines - Niagara, Ontario",data.Public transit,2.7
2016,"St. Catharines - Niagara, Ontario",data.Active transport,5.4
2016,"Thunder Bay, Ontario",data.Public transit,3.9
2016,"Thunder Bay, Ontario",data.Active transport,5.4
2016,"Toronto, Ontario",data.Public transit,24.3
2016,"Toronto, Ontario",data.Active transport,6.7
2016,"Windsor, Ontario",data.Public transit,3.4
2016,"Windsor, Ontario",data.Active transport,4.3
2016,Manitoba,data.Public transit,9.4
2016,Manitoba,data.Active transport,7.1
2016,"Winnipeg, Manitoba",data.Public transit,13.6
2016,"Winnipeg, Manitoba",data.Active transport,6.3
2016,Saskatchewan,data.Public transit,2.9
2016,Saskatchewan,data.Active transport,6.8
2016,"Regina, Saskatchewan",data.Public transit,5.1
2016,"Regina, Saskatchewan",data.Active transport,5.1
2016,"Saskatoon, Saskatchewan",data.Public transit,4.3
2016,"Saskatoon, Saskatchewan",data.Active transport,6.1
2016,Alberta,data.Public transit,10.1
2016,Alberta,data.Active transport,5.6
2016,"Calgary, Alberta",data.Public transit,14.4
2016,"Calgary, Alberta",data.Active transport,6.2
2016,"Edmonton, Alberta",data.Public transit,11.3
2016,"Edmonton, Alberta",data.Active transport,4.7
2016,"Lethbridge, Alberta",data.Public transit,2.9
2016,"Lethbridge, Alberta",data.Active transport,5.4
2016,British Columbia,data.Public transit,13.1
2016,British Columbia,data.Active transport,9.3
2016,"Abbotsford - Mission, British Columbia",data.Public transit,2.5
2016,"Abbotsford - Mission, British Columbia",data.Active transport,3.7
2016,"Kelowna, British Columbia",data.Public transit,3.9
2016,"Kelowna, British Columbia",data.Active transport,7.2
2016,"Vancouver, British Columbia",data.Public transit,20.4
2016,"Vancouver, British Columbia",data.Active transport,9.1
2016,"Victoria, British Columbia",data.Public transit,10.9
2016,"Victoria, British Columbia",data.Active transport,16.9
2016,Yukon,data.Public transit,3.9
2016,Yukon,data.Active transport,11.9
2016,Northwest Territories,data.Public transit,1.3
2016,Northwest Territories,data.Active transport,25.4
2016,Nunavut,data.Public transit,0.8
2016,Nunavut,data.Active transport,44.3
