Year,data.Event Type,data.Event sub-type,Value
2010,data.Biological,data.Epidemic,1
2010,data.Geological,Earthquake,1
2010,data.Meteorological - Hydrological,Flood,7
2010,data.Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,2
2010,data.Meteorological - Hydrological,Storm - Unspecified / Other,1
2010,data.Meteorological - Hydrological,Storm Surge,1
2010,data.Meteorological - Hydrological,Storms and Severe Thunderstorms,2
2010,data.Meteorological - Hydrological,Tornado,3
2010,data.Meteorological - Hydrological,Wildfire,5
2010,data.Meteorological - Hydrological,Winter Storm,1
2011,data.Meteorological - Hydrological,Flood,7
2011,data.Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,1
2011,data.Meteorological - Hydrological,Tornado,1
2011,data.Meteorological - Hydrological,Wildfire,5
2012,data.Biological,data.Epidemic,1
2012,data.Meteorological - Hydrological,Flood,6
2012,data.Meteorological - Hydrological,Wildfire,10
2013,data.Meteorological - Hydrological,Flood,4
2013,data.Meteorological - Hydrological,Storms and Severe Thunderstorms,1
2013,data.Meteorological - Hydrological,Winter Storm,3
2014,data.Meteorological - Hydrological,Flood,5
2014,data.Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,1
2014,data.Meteorological - Hydrological,Wildfire,2
2015,data.Meteorological - Hydrological,Flood,3
2015,data.Meteorological - Hydrological,Storm - Unspecified / Other,1
2015,data.Meteorological - Hydrological,Storms and Severe Thunderstorms,6
2015,data.Meteorological - Hydrological,Tornado,1
2015,data.Meteorological - Hydrological,Wildfire,2
2015,data.Meteorological - Hydrological,Winter Storm,1
2016,data.Biological,data.Epidemic,1
2016,data.Geological,Landslide,1
2016,data.Meteorological - Hydrological,Flood,7
2016,data.Meteorological - Hydrological,Storm - Unspecified / Other,4
2016,data.Meteorological - Hydrological,Storms and Severe Thunderstorms,7
2016,data.Meteorological - Hydrological,Tornado,1
2016,data.Meteorological - Hydrological,Wildfire,5
2016,data.Meteorological - Hydrological,Winter Storm,3
2017,data.Meteorological - Hydrological,Flood,3
2017,data.Meteorological - Hydrological,Storms and Severe Thunderstorms,1
2017,data.Meteorological - Hydrological,Wildfire,1
2017,data.Meteorological - Hydrological,Winter Storm,3
2018,data.Meteorological - Hydrological,Flood,3
2018,data.Meteorological - Hydrological,data.Heat Event,1
2018,data.Meteorological - Hydrological,Storm - Unspecified / Other,1
2018,data.Meteorological - Hydrological,Storms and Severe Thunderstorms,3
2018,data.Meteorological - Hydrological,Tornado,1
2018,data.Meteorological - Hydrological,Wildfire,2
2018,data.Meteorological - Hydrological,Winter Storm,1
2019,data.Meteorological - Hydrological,Flood,2
2019,data.Meteorological - Hydrological,Winter Storm,2
