Year,Geography,data.Offences,data.Age of accused,data.Sex of accused,Value
2014/2015,Canada,data.Total offences,data.Total - age of accused,data.Total - sex of accused,123.0
2015/2016,Canada,data.Total offences,data.Total - age of accused,data.Total - sex of accused,126.0
2016/2017,Canada,data.Total offences,data.Total - age of accused,data.Total - sex of accused,136.0
2017/2018,Canada,data.Total offences,data.Total - age of accused,data.Total - sex of accused,138.0
2018/2019,Canada,data.Total offences,data.Total - age of accused,data.Total - sex of accused,139.0
2014/2015,Canada,data.Total offences,data.Total - age of accused,Males,124.0
2015/2016,Canada,data.Total offences,data.Total - age of accused,Males,127.0
2016/2017,Canada,data.Total offences,data.Total - age of accused,Males,138.0
2017/2018,Canada,data.Total offences,data.Total - age of accused,Males,140.0
2018/2019,Canada,data.Total offences,data.Total - age of accused,Males,141.0
2014/2015,Canada,data.Total offences,data.Total - age of accused,Females,113.0
2015/2016,Canada,data.Total offences,data.Total - age of accused,Females,114.0
2016/2017,Canada,data.Total offences,data.Total - age of accused,Females,127.0
2017/2018,Canada,data.Total offences,data.Total - age of accused,Females,129.0
2018/2019,Canada,data.Total offences,data.Total - age of accused,Females,133.0
2014/2015,Canada,data.Total offences,data.Total - age of accused,data.Company,215.0
2015/2016,Canada,data.Total offences,data.Total - age of accused,data.Company,239.0
2016/2017,Canada,data.Total offences,data.Total - age of accused,data.Company,205.0
2017/2018,Canada,data.Total offences,data.Total - age of accused,data.Company,344.0
2018/2019,Canada,data.Total offences,data.Total - age of accused,data.Company,243.0
2014/2015,Canada,data.Total offences,data.Total - age of accused,data.Sex unknown,148.0
2015/2016,Canada,data.Total offences,data.Total - age of accused,data.Sex unknown,148.0
2016/2017,Canada,data.Total offences,data.Total - age of accused,data.Sex unknown,155.0
2017/2018,Canada,data.Total offences,data.Total - age of accused,data.Sex unknown,138.0
2018/2019,Canada,data.Total offences,data.Total - age of accused,data.Sex unknown,137.0
2014/2015,Canada,data.Total offences,data.18 to 24 years,data.Total - sex of accused,129.0
2015/2016,Canada,data.Total offences,data.18 to 24 years,data.Total - sex of accused,133.0
2016/2017,Canada,data.Total offences,data.18 to 24 years,data.Total - sex of accused,148.0
2017/2018,Canada,data.Total offences,data.18 to 24 years,data.Total - sex of accused,149.0
2018/2019,Canada,data.Total offences,data.18 to 24 years,data.Total - sex of accused,154.0
2014/2015,Canada,data.Total offences,data.18 to 24 years,Males,131.0
2015/2016,Canada,data.Total offences,data.18 to 24 years,Males,135.0
2016/2017,Canada,data.Total offences,data.18 to 24 years,Males,149.0
2017/2018,Canada,data.Total offences,data.18 to 24 years,Males,154.0
2018/2019,Canada,data.Total offences,data.18 to 24 years,Males,158.0
2014/2015,Canada,data.Total offences,data.18 to 24 years,Females,115.0
2015/2016,Canada,data.Total offences,data.18 to 24 years,Females,116.0
2016/2017,Canada,data.Total offences,data.18 to 24 years,Females,129.0
2017/2018,Canada,data.Total offences,data.18 to 24 years,Females,136.0
2018/2019,Canada,data.Total offences,data.18 to 24 years,Females,139.0
2014/2015,Canada,data.Total offences,data.18 to 24 years,data.Sex unknown,154.0
2015/2016,Canada,data.Total offences,data.18 to 24 years,data.Sex unknown,148.0
2016/2017,Canada,data.Total offences,data.18 to 24 years,data.Sex unknown,162.0
2017/2018,Canada,data.Total offences,data.18 to 24 years,data.Sex unknown,149.0
2018/2019,Canada,data.Total offences,data.18 to 24 years,data.Sex unknown,154.0
2014/2015,Canada,data.Total offences,25 to 34 years,data.Total - sex of accused,121.0
2015/2016,Canada,data.Total offences,25 to 34 years,data.Total - sex of accused,126.0
2016/2017,Canada,data.Total offences,25 to 34 years,data.Total - sex of accused,134.0
2017/2018,Canada,data.Total offences,25 to 34 years,data.Total - sex of accused,135.0
2018/2019,Canada,data.Total offences,25 to 34 years,data.Total - sex of accused,139.0
2014/2015,Canada,data.Total offences,25 to 34 years,Males,121.0
2015/2016,Canada,data.Total offences,25 to 34 years,Males,126.0
2016/2017,Canada,data.Total offences,25 to 34 years,Males,134.0
2017/2018,Canada,data.Total offences,25 to 34 years,Males,137.0
2018/2019,Canada,data.Total offences,25 to 34 years,Males,140.0
2014/2015,Canada,data.Total offences,25 to 34 years,Females,113.0
2015/2016,Canada,data.Total offences,25 to 34 years,Females,119.0
2016/2017,Canada,data.Total offences,25 to 34 years,Females,128.0
2017/2018,Canada,data.Total offences,25 to 34 years,Females,132.0
2018/2019,Canada,data.Total offences,25 to 34 years,Females,135.0
2014/2015,Canada,data.Total offences,25 to 34 years,data.Sex unknown,148.0
2015/2016,Canada,data.Total offences,25 to 34 years,data.Sex unknown,149.0
2016/2017,Canada,data.Total offences,25 to 34 years,data.Sex unknown,151.0
2017/2018,Canada,data.Total offences,25 to 34 years,data.Sex unknown,135.0
2018/2019,Canada,data.Total offences,25 to 34 years,data.Sex unknown,136.0
2014/2015,Canada,data.Total offences,35 to 44 years,data.Total - sex of accused,123.0
2015/2016,Canada,data.Total offences,35 to 44 years,data.Total - sex of accused,125.0
2016/2017,Canada,data.Total offences,35 to 44 years,data.Total - sex of accused,134.0
2017/2018,Canada,data.Total offences,35 to 44 years,data.Total - sex of accused,134.0
2018/2019,Canada,data.Total offences,35 to 44 years,data.Total - sex of accused,134.0
2014/2015,Canada,data.Total offences,35 to 44 years,Males,123.0
2015/2016,Canada,data.Total offences,35 to 44 years,Males,124.0
2016/2017,Canada,data.Total offences,35 to 44 years,Males,134.0
2017/2018,Canada,data.Total offences,35 to 44 years,Males,136.0
2018/2019,Canada,data.Total offences,35 to 44 years,Males,135.0
2014/2015,Canada,data.Total offences,35 to 44 years,Females,116.0
2015/2016,Canada,data.Total offences,35 to 44 years,Females,120.0
2016/2017,Canada,data.Total offences,35 to 44 years,Females,127.0
2017/2018,Canada,data.Total offences,35 to 44 years,Females,132.0
2018/2019,Canada,data.Total offences,35 to 44 years,Females,133.0
2014/2015,Canada,data.Total offences,35 to 44 years,data.Sex unknown,149.0
2015/2016,Canada,data.Total offences,35 to 44 years,data.Sex unknown,155.0
2016/2017,Canada,data.Total offences,35 to 44 years,data.Sex unknown,142.0
2017/2018,Canada,data.Total offences,35 to 44 years,data.Sex unknown,131.0
2018/2019,Canada,data.Total offences,35 to 44 years,data.Sex unknown,134.0
2014/2015,Canada,data.Total offences,45 to 54 years,data.Total - sex of accused,120.0
2015/2016,Canada,data.Total offences,45 to 54 years,data.Total - sex of accused,123.0
2016/2017,Canada,data.Total offences,45 to 54 years,data.Total - sex of accused,137.0
2017/2018,Canada,data.Total offences,45 to 54 years,data.Total - sex of accused,139.0
2018/2019,Canada,data.Total offences,45 to 54 years,data.Total - sex of accused,138.0
2014/2015,Canada,data.Total offences,45 to 54 years,Males,121.0
2015/2016,Canada,data.Total offences,45 to 54 years,Males,123.0
2016/2017,Canada,data.Total offences,45 to 54 years,Males,139.0
2017/2018,Canada,data.Total offences,45 to 54 years,Males,141.0
2018/2019,Canada,data.Total offences,45 to 54 years,Males,140.0
2014/2015,Canada,data.Total offences,45 to 54 years,Females,107.0
2015/2016,Canada,data.Total offences,45 to 54 years,Females,118.0
2016/2017,Canada,data.Total offences,45 to 54 years,Females,125.0
2017/2018,Canada,data.Total offences,45 to 54 years,Females,129.0
2018/2019,Canada,data.Total offences,45 to 54 years,Females,132.0
2014/2015,Canada,data.Total offences,45 to 54 years,data.Sex unknown,147.0
2015/2016,Canada,data.Total offences,45 to 54 years,data.Sex unknown,148.0
2016/2017,Canada,data.Total offences,45 to 54 years,data.Sex unknown,160.0
2017/2018,Canada,data.Total offences,45 to 54 years,data.Sex unknown,135.0
2018/2019,Canada,data.Total offences,45 to 54 years,data.Sex unknown,140.0
2014/2015,Canada,data.Total offences,55 years and over,data.Total - sex of accused,107.0
2015/2016,Canada,data.Total offences,55 years and over,data.Total - sex of accused,113.0
2016/2017,Canada,data.Total offences,55 years and over,data.Total - sex of accused,120.0
2017/2018,Canada,data.Total offences,55 years and over,data.Total - sex of accused,120.0
2018/2019,Canada,data.Total offences,55 years and over,data.Total - sex of accused,120.0
2014/2015,Canada,data.Total offences,55 years and over,Males,111.0
2015/2016,Canada,data.Total offences,55 years and over,Males,116.0
2016/2017,Canada,data.Total offences,55 years and over,Males,124.0
2017/2018,Canada,data.Total offences,55 years and over,Males,121.0
2018/2019,Canada,data.Total offences,55 years and over,Males,122.0
2014/2015,Canada,data.Total offences,55 years and over,Females,91.0
2015/2016,Canada,data.Total offences,55 years and over,Females,85.0
2016/2017,Canada,data.Total offences,55 years and over,Females,96.0
2017/2018,Canada,data.Total offences,55 years and over,Females,99.0
2018/2019,Canada,data.Total offences,55 years and over,Females,101.0
2014/2015,Canada,data.Total offences,55 years and over,data.Sex unknown,138.0
2015/2016,Canada,data.Total offences,55 years and over,data.Sex unknown,157.0
2016/2017,Canada,data.Total offences,55 years and over,data.Sex unknown,162.0
2017/2018,Canada,data.Total offences,55 years and over,data.Sex unknown,134.0
2018/2019,Canada,data.Total offences,55 years and over,data.Sex unknown,124.0
2014/2015,Canada,data.Total Criminal Code,data.Total - age of accused,data.Total - sex of accused,122.0
2015/2016,Canada,data.Total Criminal Code,data.Total - age of accused,data.Total - sex of accused,125.0
2016/2017,Canada,data.Total Criminal Code,data.Total - age of accused,data.Total - sex of accused,134.0
2017/2018,Canada,data.Total Criminal Code,data.Total - age of accused,data.Total - sex of accused,136.0
2018/2019,Canada,data.Total Criminal Code,data.Total - age of accused,data.Total - sex of accused,138.0
2014/2015,Canada,data.Total Criminal Code,data.Total - age of accused,Males,124.0
2015/2016,Canada,data.Total Criminal Code,data.Total - age of accused,Males,126.0
2016/2017,Canada,data.Total Criminal Code,data.Total - age of accused,Males,136.0
2017/2018,Canada,data.Total Criminal Code,data.Total - age of accused,Males,140.0
2018/2019,Canada,data.Total Criminal Code,data.Total - age of accused,Males,141.0
2014/2015,Canada,data.Total Criminal Code,data.Total - age of accused,Females,108.0
2015/2016,Canada,data.Total Criminal Code,data.Total - age of accused,Females,113.0
2016/2017,Canada,data.Total Criminal Code,data.Total - age of accused,Females,122.0
2017/2018,Canada,data.Total Criminal Code,data.Total - age of accused,Females,126.0
2018/2019,Canada,data.Total Criminal Code,data.Total - age of accused,Females,129.0
2014/2015,Canada,data.Total Criminal Code,data.Total - age of accused,data.Company,171.0
2015/2016,Canada,data.Total Criminal Code,data.Total - age of accused,data.Company,98.0
2016/2017,Canada,data.Total Criminal Code,data.Total - age of accused,data.Company,196.0
2017/2018,Canada,data.Total Criminal Code,data.Total - age of accused,data.Company,121.0
2018/2019,Canada,data.Total Criminal Code,data.Total - age of accused,data.Company,129.0
2014/2015,Canada,data.Total Criminal Code,data.Total - age of accused,data.Sex unknown,149.0
2015/2016,Canada,data.Total Criminal Code,data.Total - age of accused,data.Sex unknown,148.0
2016/2017,Canada,data.Total Criminal Code,data.Total - age of accused,data.Sex unknown,150.0
2017/2018,Canada,data.Total Criminal Code,data.Total - age of accused,data.Sex unknown,139.0
2018/2019,Canada,data.Total Criminal Code,data.Total - age of accused,data.Sex unknown,136.0
2014/2015,Canada,data.Total Criminal Code,data.18 to 24 years,data.Total - sex of accused,129.0
2015/2016,Canada,data.Total Criminal Code,data.18 to 24 years,data.Total - sex of accused,132.0
2016/2017,Canada,data.Total Criminal Code,data.18 to 24 years,data.Total - sex of accused,143.0
2017/2018,Canada,data.Total Criminal Code,data.18 to 24 years,data.Total - sex of accused,148.0
2018/2019,Canada,data.Total Criminal Code,data.18 to 24 years,data.Total - sex of accused,151.0
2014/2015,Canada,data.Total Criminal Code,data.18 to 24 years,Males,132.0
2015/2016,Canada,data.Total Criminal Code,data.18 to 24 years,Males,134.0
2016/2017,Canada,data.Total Criminal Code,data.18 to 24 years,Males,148.0
2017/2018,Canada,data.Total Criminal Code,data.18 to 24 years,Males,153.0
2018/2019,Canada,data.Total Criminal Code,data.18 to 24 years,Males,156.0
2014/2015,Canada,data.Total Criminal Code,data.18 to 24 years,Females,113.0
2015/2016,Canada,data.Total Criminal Code,data.18 to 24 years,Females,113.0
2016/2017,Canada,data.Total Criminal Code,data.18 to 24 years,Females,127.0
2017/2018,Canada,data.Total Criminal Code,data.18 to 24 years,Females,132.0
2018/2019,Canada,data.Total Criminal Code,data.18 to 24 years,Females,134.0
2014/2015,Canada,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,155.0
2015/2016,Canada,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,150.0
2016/2017,Canada,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,159.0
2017/2018,Canada,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,151.0
2018/2019,Canada,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,150.0
2014/2015,Canada,data.Total Criminal Code,25 to 34 years,data.Total - sex of accused,120.0
2015/2016,Canada,data.Total Criminal Code,25 to 34 years,data.Total - sex of accused,122.0
2016/2017,Canada,data.Total Criminal Code,25 to 34 years,data.Total - sex of accused,131.0
2017/2018,Canada,data.Total Criminal Code,25 to 34 years,data.Total - sex of accused,133.0
2018/2019,Canada,data.Total Criminal Code,25 to 34 years,data.Total - sex of accused,135.0
2014/2015,Canada,data.Total Criminal Code,25 to 34 years,Males,120.0
2015/2016,Canada,data.Total Criminal Code,25 to 34 years,Males,123.0
2016/2017,Canada,data.Total Criminal Code,25 to 34 years,Males,132.0
2017/2018,Canada,data.Total Criminal Code,25 to 34 years,Males,134.0
2018/2019,Canada,data.Total Criminal Code,25 to 34 years,Males,137.0
2014/2015,Canada,data.Total Criminal Code,25 to 34 years,Females,109.0
2015/2016,Canada,data.Total Criminal Code,25 to 34 years,Females,114.0
2016/2017,Canada,data.Total Criminal Code,25 to 34 years,Females,125.0
2017/2018,Canada,data.Total Criminal Code,25 to 34 years,Females,127.0
2018/2019,Canada,data.Total Criminal Code,25 to 34 years,Females,133.0
2014/2015,Canada,data.Total Criminal Code,25 to 34 years,data.Sex unknown,145.0
2015/2016,Canada,data.Total Criminal Code,25 to 34 years,data.Sex unknown,145.0
2016/2017,Canada,data.Total Criminal Code,25 to 34 years,data.Sex unknown,145.0
2017/2018,Canada,data.Total Criminal Code,25 to 34 years,data.Sex unknown,133.0
2018/2019,Canada,data.Total Criminal Code,25 to 34 years,data.Sex unknown,134.0
2014/2015,Canada,data.Total Criminal Code,35 to 44 years,data.Total - sex of accused,122.0
2015/2016,Canada,data.Total Criminal Code,35 to 44 years,data.Total - sex of accused,124.0
2016/2017,Canada,data.Total Criminal Code,35 to 44 years,data.Total - sex of accused,132.0
2017/2018,Canada,data.Total Criminal Code,35 to 44 years,data.Total - sex of accused,134.0
2018/2019,Canada,data.Total Criminal Code,35 to 44 years,data.Total - sex of accused,134.0
2014/2015,Canada,data.Total Criminal Code,35 to 44 years,Males,122.0
2015/2016,Canada,data.Total Criminal Code,35 to 44 years,Males,123.0
2016/2017,Canada,data.Total Criminal Code,35 to 44 years,Males,134.0
2017/2018,Canada,data.Total Criminal Code,35 to 44 years,Males,135.0
2018/2019,Canada,data.Total Criminal Code,35 to 44 years,Males,135.0
2014/2015,Canada,data.Total Criminal Code,35 to 44 years,Females,113.0
2015/2016,Canada,data.Total Criminal Code,35 to 44 years,Females,116.0
2016/2017,Canada,data.Total Criminal Code,35 to 44 years,Females,125.0
2017/2018,Canada,data.Total Criminal Code,35 to 44 years,Females,127.0
2018/2019,Canada,data.Total Criminal Code,35 to 44 years,Females,130.0
2014/2015,Canada,data.Total Criminal Code,35 to 44 years,data.Sex unknown,151.0
2015/2016,Canada,data.Total Criminal Code,35 to 44 years,data.Sex unknown,152.0
2016/2017,Canada,data.Total Criminal Code,35 to 44 years,data.Sex unknown,139.0
2017/2018,Canada,data.Total Criminal Code,35 to 44 years,data.Sex unknown,131.0
2018/2019,Canada,data.Total Criminal Code,35 to 44 years,data.Sex unknown,134.0
2014/2015,Canada,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,120.0
2015/2016,Canada,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,123.0
2016/2017,Canada,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,135.0
2017/2018,Canada,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,140.0
2018/2019,Canada,data.Total Criminal Code,45 to 54 years,data.Total - sex of accused,140.0
2014/2015,Canada,data.Total Criminal Code,45 to 54 years,Males,123.0
