Year,Institutions,Characteristics,Level of confidence,Value
2019,Police,Total population,A great deal of confidence,41
2019,Police,Total population,Some confidence,49
2019,Police,Total population,data.Not very much of no confidence,9
2019,Police,Male,A great deal of confidence,41
2019,Police,Male,Some confidence,49
2019,Police,Male,data.Not very much of no confidence,10
2019,Police,Female,A great deal of confidence,42
2019,Police,Female,Some confidence,49
2019,Police,Female,data.Not very much of no confidence,9
2019,Police,Indigenous person,A great deal of confidence,27
2019,Police,Indigenous person,Some confidence,55
2019,Police,Indigenous person,data.Not very much of no confidence,16
2019,Police,Non-Indigenous person,A great deal of confidence,42
2019,Police,Non-Indigenous person,Some confidence,49
2019,Police,Non-Indigenous person,data.Not very much of no confidence,9
2019,Police,Visible minority,A great deal of confidence,35
2019,Police,Visible minority,Some confidence,52
2019,Police,Visible minority,data.Not very much of no confidence,13
2019,Police,Non-visible minority,A great deal of confidence,44
2019,Police,Non-visible minority,Some confidence,48
2019,Police,Non-visible minority,data.Not very much of no confidence,8
