Year,Geography,data.Selected diseases,Age,Sex,Value
2017,Canada,data.Diphtheria,data.by 2 years of age,data.All children,75.8
2017,Canada,data.Pertussis,data.by 2 years of age,data.All children,75.8
2017,Canada,data.Tetanus,data.by 2 years of age,data.All children,75.8
2017,Canada,data.Polio,data.by 2 years of age,data.All children,90.7
2017,Canada,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,data.All children,73.4
2017,Canada,data.Measles,data.by 2 years of age,data.All children,90.2
2017,Canada,data.Mumps,data.by 2 years of age,data.All children,89.9
2017,Canada,data.Rubella,data.by 2 years of age,data.All children,90.0
2017,Canada,data.Hepatitis B,data.by 2 years of age,data.All children,74.1
2017,Canada,data.Varicella,data.by 2 years of age,data.All children,82.9
2017,Canada,data.Meningococcal type C,data.by 2 years of age,data.All children,87.6
2017,Canada,data.Pneumococcal,data.by 2 years of age,data.All children,81.4
2017,Canada,data.Rotavirus,data.by 2 years of age,data.All children,78.8
2017,Canada,data.Diphtheria,data.by 2 years of age,Male,74.1
2017,Canada,data.Pertussis,data.by 2 years of age,Male,74.1
2017,Canada,data.Tetanus,data.by 2 years of age,Male,74.1
2017,Canada,data.Polio,data.by 2 years of age,Male,90.0
2017,Canada,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,Male,72.1
2017,Canada,data.Measles,data.by 2 years of age,Male,88.9
2017,Canada,data.Mumps,data.by 2 years of age,Male,88.8
2017,Canada,data.Rubella,data.by 2 years of age,Male,88.8
2017,Canada,data.Hepatitis B,data.by 2 years of age,Male,72.5
2017,Canada,data.Varicella,data.by 2 years of age,Male,82.1
2017,Canada,data.Meningococcal type C,data.by 2 years of age,Male,87.1
2017,Canada,data.Pneumococcal,data.by 2 years of age,Male,80.1
2017,Canada,data.Rotavirus,data.by 2 years of age,Male,78.3
2017,Canada,data.Diphtheria,data.by 2 years of age,Female,77.5
2017,Canada,data.Pertussis,data.by 2 years of age,Female,77.5
2017,Canada,data.Tetanus,data.by 2 years of age,Female,77.5
2017,Canada,data.Polio,data.by 2 years of age,Female,91.4
2017,Canada,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,Female,74.7
2017,Canada,data.Measles,data.by 2 years of age,Female,91.6
2017,Canada,data.Mumps,data.by 2 years of age,Female,91.1
2017,Canada,data.Rubella,data.by 2 years of age,Female,91.1
2017,Canada,data.Hepatitis B,data.by 2 years of age,Female,75.8
2017,Canada,data.Varicella,data.by 2 years of age,Female,83.8
2017,Canada,data.Meningococcal type C,data.by 2 years of age,Female,88.3
2017,Canada,data.Pneumococcal,data.by 2 years of age,Female,82.6
2017,Canada,data.Rotavirus,data.by 2 years of age,Female,79.3
2017,Canada,data.Diphtheria,data.by 7 years of age,data.All children,80.5
2017,Canada,data.Pertussis,data.by 7 years of age,data.All children,80.5
2017,Canada,data.Tetanus,data.by 7 years of age,data.All children,80.5
2017,Canada,data.Polio,data.by 7 years of age,data.All children,92.3
2017,Canada,data.Haemophilus influenzae�type B (Hib),data.by 7 years of age,data.All children,83.9
2017,Canada,data.Measles,data.by 7 years of age,data.All children,87.0
2017,Canada,data.Mumps,data.by 7 years of age,data.All children,86.4
2017,Canada,data.Rubella,data.by 7 years of age,data.All children,94.5
2017,Canada,data.Diphtheria,data.by 7 years of age,Male,76.4
2017,Canada,data.Pertussis,data.by 7 years of age,Male,76.4
2017,Canada,data.Tetanus,data.by 7 years of age,Male,76.4
2017,Canada,data.Polio,data.by 7 years of age,Male,91.7
2017,Canada,data.Haemophilus influenzae�type B (Hib),data.by 7 years of age,Male,83.8
2017,Canada,data.Measles,data.by 7 years of age,Male,86.5
2017,Canada,data.Mumps,data.by 7 years of age,Male,86.5
2017,Canada,data.Rubella,data.by 7 years of age,Male,93.8
2017,Canada,data.Diphtheria,data.by 7 years of age,Female,85.5
2017,Canada,data.Pertussis,data.by 7 years of age,Female,85.5
2017,Canada,data.Tetanus,data.by 7 years of age,Female,85.5
2017,Canada,data.Polio,data.by 7 years of age,Female,93.0
2017,Canada,data.Haemophilus influenzae�type B (Hib),data.by 7 years of age,Female,84.1
2017,Canada,data.Measles,data.by 7 years of age,Female,87.9
2017,Canada,data.Mumps,data.by 7 years of age,Female,86.7
2017,Canada,data.Rubella,data.by 7 years of age,Female,95.8
2017,Canada,data.Hepatitis B,data.by 14 years of age,data.All children,83.1
2017,Canada,data.Human Papillomavirus,data.by 14 years of age,data.All children,
2017,Canada,"data.Diphtheria, Tetanus, acellular Pertussis (Tdap) booster",data.by 17 years of age,data.All children,89.3
2017,Canada,data.Hepatitis B,data.by 14 years of age,Male,82.1
2017,Canada,data.Human Papillomavirus,data.by 14 years of age,Male,
2017,Canada,"data.Diphtheria, Tetanus, acellular Pertussis (Tdap) booster",data.by 17 years of age,Male,87.9
2017,Canada,data.Hepatitis B,data.by 14 years of age,Female,84.1
2017,Canada,data.Human Papillomavirus,data.by 14 years of age,Female,83.0
2017,Canada,"data.Diphtheria, Tetanus, acellular Pertussis (Tdap) booster",data.by 17 years of age,Female,90.7
2017,Newfoundland and Labrador,"data.Diphtheria, Pertussis, and tetanus",data.by 2 years of age,data.All children,88.9
2017,Newfoundland and Labrador,data.Polio,data.by 2 years of age,data.All children,96.9
2017,Newfoundland and Labrador,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,data.All children,87.7
2017,Newfoundland and Labrador,data.Measles,data.by 2 years of age,data.All children,96.9
2017,Newfoundland and Labrador,data.Mumps,data.by 2 years of age,data.All children,96.9
2017,Newfoundland and Labrador,data.Rubella,data.by 2 years of age,data.All children,96.9
2017,Prince Edward Island,"data.Diphtheria, Pertussis, and tetanus",data.by 2 years of age,data.All children,81.2
2017,Prince Edward Island,data.Polio,data.by 2 years of age,data.All children,93.9
2017,Prince Edward Island,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,data.All children,79.8
2017,Prince Edward Island,data.Measles,data.by 2 years of age,data.All children,93.2
2017,Prince Edward Island,data.Mumps,data.by 2 years of age,data.All children,92.6
2017,Prince Edward Island,data.Rubella,data.by 2 years of age,data.All children,92.6
2017,Nova Scotia,"data.Diphtheria, Pertussis, and tetanus",data.by 2 years of age,data.All children,73.8
2017,Nova Scotia,data.Polio,data.by 2 years of age,data.All children,93.5
2017,Nova Scotia,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,data.All children,68.5
2017,Nova Scotia,data.Measles,data.by 2 years of age,data.All children,87.1
2017,Nova Scotia,data.Mumps,data.by 2 years of age,data.All children,86.8
2017,Nova Scotia,data.Rubella,data.by 2 years of age,data.All children,86.8
2017,New Brunswick,"data.Diphtheria, Pertussis, and tetanus",data.by 2 years of age,data.All children,75.5
2017,New Brunswick,data.Polio,data.by 2 years of age,data.All children,90.1
2017,New Brunswick,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,data.All children,74.7
2017,New Brunswick,data.Measles,data.by 2 years of age,data.All children,92.0
2017,New Brunswick,data.Mumps,data.by 2 years of age,data.All children,92.0
2017,New Brunswick,data.Rubella,data.by 2 years of age,data.All children,92.0
2017,Quebec,"data.Diphtheria, Pertussis, and tetanus",data.by 2 years of age,data.All children,73.7
2017,Quebec,data.Polio,data.by 2 years of age,data.All children,90.9
2017,Quebec,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,data.All children,71.3
2017,Quebec,data.Measles,data.by 2 years of age,data.All children,91.0
2017,Quebec,data.Mumps,data.by 2 years of age,data.All children,90.5
2017,Quebec,data.Rubella,data.by 2 years of age,data.All children,90.5
2017,Ontario,"data.Diphtheria, Pertussis, and tetanus",data.by 2 years of age,data.All children,75.7
2017,Ontario,data.Polio,data.by 2 years of age,data.All children,91.0
2017,Ontario,data.Haemophilus influenzae�type B (Hib),data.by 2 years of age,data.All children,72.9
