Year,Geography,Activity group,Age,Sex,Value
2015,Canada,Unpaid work activities,"Total, 15 years and over",Both sexes,12.5
2015,Canada,Unpaid work activities,"Total, 15 years and over",data.Male,10.0
2015,Canada,Unpaid work activities,"Total, 15 years and over",data.Female,15.0
2015,Canada,Unpaid work activities,15 to 24 years,Both sexes,5.4
2015,Canada,Unpaid work activities,15 to 24 years,data.Male,4.6
2015,Canada,Unpaid work activities,15 to 24 years,data.Female,6.7
2015,Canada,Unpaid work activities,25 to 54 years,Both sexes,13.3
2015,Canada,Unpaid work activities,25 to 54 years,data.Male,10.4
2015,Canada,Unpaid work activities,25 to 54 years,data.Female,16.3
2015,Canada,Unpaid work activities,25 to 34 years,Both sexes,12.1
2015,Canada,Unpaid work activities,25 to 34 years,data.Male,7.9
2015,Canada,Unpaid work activities,25 to 34 years,data.Female,15.8
2015,Canada,Unpaid work activities,35 to 44 years,Both sexes,15.0
2015,Canada,Unpaid work activities,35 to 44 years,data.Male,11.7
2015,Canada,Unpaid work activities,35 to 44 years,data.Female,17.9
2015,Canada,Unpaid work activities,45 to 54 years,Both sexes,13.3
2015,Canada,Unpaid work activities,45 to 54 years,data.Male,11.3
2015,Canada,Unpaid work activities,45 to 54 years,data.Female,15.4
2015,Canada,Unpaid work activities,55 to 64 years,Both sexes,14.2
2015,Canada,Unpaid work activities,55 to 64 years,data.Male,12.1
2015,Canada,Unpaid work activities,55 to 64 years,data.Female,16.3
2015,Canada,Unpaid work activities,65 years and over,Both sexes,15.0
2015,Canada,Unpaid work activities,65 years and over,data.Male,13.3
2015,Canada,Unpaid work activities,65 years and over,data.Female,16.7
2015,Canada,Household chores,"Total, 15 years and over",Both sexes,8.8
2015,Canada,Household chores,"Total, 15 years and over",data.Male,7.1
2015,Canada,Household chores,"Total, 15 years and over",data.Female,10.0
2015,Canada,Household chores,15 to 24 years,Both sexes,3.8
2015,Canada,Household chores,15 to 24 years,data.Male,3.3
2015,Canada,Household chores,15 to 24 years,data.Female,4.2
2015,Canada,Household chores,25 to 54 years,Both sexes,8.3
2015,Canada,Household chores,25 to 54 years,data.Male,6.7
2015,Canada,Household chores,25 to 54 years,data.Female,10.0
2015,Canada,Household chores,25 to 34 years,Both sexes,6.7
2015,Canada,Household chores,25 to 34 years,data.Male,5.0
2015,Canada,Household chores,25 to 34 years,data.Female,8.3
2015,Canada,Household chores,35 to 44 years,Both sexes,8.3
2015,Canada,Household chores,35 to 44 years,data.Male,6.7
2015,Canada,Household chores,35 to 44 years,data.Female,10.0
2015,Canada,Household chores,45 to 54 years,Both sexes,10.0
2015,Canada,Household chores,45 to 54 years,data.Male,8.8
2015,Canada,Household chores,45 to 54 years,data.Female,11.3
2015,Canada,Household chores,55 to 64 years,Both sexes,10.8
2015,Canada,Household chores,55 to 64 years,data.Male,9.6
2015,Canada,Household chores,55 to 64 years,data.Female,12.1
2015,Canada,Household chores,65 years and over,Both sexes,11.7
2015,Canada,Household chores,65 years and over,data.Male,10.0
2015,Canada,Household chores,65 years and over,data.Female,13.3
