Year,Geography,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2018,British Columbia,,,,,,68.9
2018,Alberta,,,,,,95.3
2018,Saskatchewan,,,,,,98.4
2018,Manitoba,,,,,,83.3
2018,Ontario,,,,,,92.7
2018,Quebec,,,,,,88.6
2018,New Brunswick,,,,,,99.4
2018,Nova Scotia,,,,,,98.1
2018,Prince Edward Island,,,,,,99.9
2018,Newfoundland and Labrador,,,,,,64.7
2018,Yukon,,,,,,34.7
2018,Northwest Territories,,,,,,30.4
2018,Nunavut,,,,,,
2018,Canada,,,,,,87.2
2019,British Columbia,,,,,,71.8
2019,Alberta,,,,,,96.0
2019,Saskatchewan,,,,,,98.8
2019,Manitoba,,,,,,93.2
2019,Ontario,,,,,,93.4
2019,Quebec,,,,,,89.3
2019,New Brunswick,,,,,,99.4
2019,Nova Scotia,,,,,,98.3
2019,Prince Edward Island,,,,,,99.9
2019,Newfoundland and Labrador,,,,,,66.5
2019,Yukon,,,,,,34.9
2019,Northwest Territories,,,,,,31.7
2019,Nunavut,,,,,,
2019,Canada,,,,,,88.8
