Year,Geography,Persons,Value
2015,Canada,All persons,14.5
2016,Canada,All persons,12.8
2017,Canada,All persons,11.7
2018,Canada,All persons,11
2015,Canada,Persons under 18 years,16.4
2016,Canada,Persons under 18 years,14
2017,Canada,Persons under 18 years,11.6
2018,Canada,Persons under 18 years,10.8
2015,Canada,Persons 18 to 64 years,15.7
2016,Canada,Persons 18 to 64 years,14
2017,Canada,Persons 18 to 64 years,13.2
2018,Canada,Persons 18 to 64 years,12.5
2015,Canada,Persons 65 years and over,7
2016,Canada,Persons 65 years and over,7
2017,Canada,Persons 65 years and over,6
2018,Canada,Persons 65 years and over,5.6
2015,Canada,Hommes,14.2
2016,Canada,Hommes,12.3
2017,Canada,Hommes,11.5
2018,Canada,Hommes,11.1
2015,Canada,Males under 18 years,16.1
2016,Canada,Males under 18 years,13
2017,Canada,Males under 18 years,11.5
2018,Canada,Males under 18 years,11.3
2015,Canada,Males 18 to 64 years,15.4
2016,Canada,Males 18 to 64 years,13.5
2017,Canada,Males 18 to 64 years,12.9
2018,Canada,Males 18 to 64 years,12.5
2015,Canada,Males 65 years and over,6
2016,Canada,Males 65 years and over,6.3
2017,Canada,Males 65 years and over,5.4
2018,Canada,Males 65 years and over,5
2015,Canada,Femmes,14.8
2016,Canada,Femmes,13.3
2017,Canada,Femmes,11.9
2018,Canada,Femmes,10.9
2015,Canada,Females under 18 years,16.8
2016,Canada,Females under 18 years,15.1
2017,Canada,Females under 18 years,11.8
2018,Canada,Females under 18 years,10.2
2015,Canada,Females 18 to 64 years,16
2016,Canada,Females 18 to 64 years,14.4
2017,Canada,Females 18 to 64 years,13.5
2018,Canada,Females 18 to 64 years,12.4
2015,Canada,Females 65 years and over,7.9
2016,Canada,Females 65 years and over,7.5
2017,Canada,Females 65 years and over,6.5
2018,Canada,Females 65 years and over,6.2
2015,Newfoundland and Labrador,All persons,13.1
2016,Newfoundland and Labrador,All persons,12.4
2017,Newfoundland and Labrador,All persons,11.4
2018,Newfoundland and Labrador,All persons,11.2
2015,Newfoundland and Labrador,Persons under 18 years,15.3
2016,Newfoundland and Labrador,Persons under 18 years,13.4
2017,Newfoundland and Labrador,Persons under 18 years,12
2018,Newfoundland and Labrador,Persons under 18 years,11.2
2015,Newfoundland and Labrador,Persons 18 to 64 years,13.8
2016,Newfoundland and Labrador,Persons 18 to 64 years,13.4
2017,Newfoundland and Labrador,Persons 18 to 64 years,12.7
2018,Newfoundland and Labrador,Persons 18 to 64 years,13.6
2015,Newfoundland and Labrador,Persons 65 years and over,8.6
2016,Newfoundland and Labrador,Persons 65 years and over,8
2017,Newfoundland and Labrador,Persons 65 years and over,6.7
2018,Newfoundland and Labrador,Persons 65 years and over,4.1
2015,Newfoundland and Labrador,Hommes,11.6
2016,Newfoundland and Labrador,Hommes,11.1
2017,Newfoundland and Labrador,Hommes,9.9
2018,Newfoundland and Labrador,Hommes,11.6
2015,Newfoundland and Labrador,Males under 18 years,13.9
2016,Newfoundland and Labrador,Males under 18 years,13.9
2017,Newfoundland and Labrador,Males under 18 years,11.5
2018,Newfoundland and Labrador,Males under 18 years,10.3
2015,Newfoundland and Labrador,Males 18 to 64 years,12.3
2016,Newfoundland and Labrador,Males 18 to 64 years,11.5
2017,Newfoundland and Labrador,Males 18 to 64 years,10.8
2018,Newfoundland and Labrador,Males 18 to 64 years,14.9
2015,Newfoundland and Labrador,Males 65 years and over,6.6
2016,Newfoundland and Labrador,Males 65 years and over,7.2
2017,Newfoundland and Labrador,Males 65 years and over,5.1
2018,Newfoundland and Labrador,Males 65 years and over,2.4
2015,Newfoundland and Labrador,Femmes,14.6
2016,Newfoundland and Labrador,Femmes,13.6
2017,Newfoundland and Labrador,Femmes,12.9
2018,Newfoundland and Labrador,Femmes,10.8
2015,Newfoundland and Labrador,Females under 18 years,16.9
2016,Newfoundland and Labrador,Females under 18 years,13
2017,Newfoundland and Labrador,Females under 18 years,12.6
2018,Newfoundland and Labrador,Females under 18 years,12.1
2015,Newfoundland and Labrador,Females 18 to 64 years,15.3
2016,Newfoundland and Labrador,Females 18 to 64 years,15.3
2017,Newfoundland and Labrador,Females 18 to 64 years,14.5
2018,Newfoundland and Labrador,Females 18 to 64 years,12.3
2015,Newfoundland and Labrador,Females 65 years and over,10.3
2016,Newfoundland and Labrador,Females 65 years and over,8.7
2017,Newfoundland and Labrador,Females 65 years and over,8.1
2018,Newfoundland and Labrador,Females 65 years and over,5.7
2015,Prince Edward Island,All persons,14.8
2016,Prince Edward Island,All persons,11.8
2017,Prince Edward Island,All persons,13.3
2018,Prince Edward Island,All persons,11.9
2015,Prince Edward Island,Persons under 18 years,15.1
2016,Prince Edward Island,Persons under 18 years,14.9
2017,Prince Edward Island,Persons under 18 years,13.4
2018,Prince Edward Island,Persons under 18 years,9.8
2015,Prince Edward Island,Persons 18 to 64 years,15.4
2016,Prince Edward Island,Persons 18 to 64 years,11.9
2017,Prince Edward Island,Persons 18 to 64 years,14.3
2018,Prince Edward Island,Persons 18 to 64 years,13.1
2015,Prince Edward Island,Persons 65 years and over,12.5
2016,Prince Edward Island,Persons 65 years and over,7.9
2017,Prince Edward Island,Persons 65 years and over,10.1
2018,Prince Edward Island,Persons 65 years and over,10.1
2015,Prince Edward Island,Hommes,14.2
2016,Prince Edward Island,Hommes,9.8
2017,Prince Edward Island,Hommes,13.3
2018,Prince Edward Island,Hommes,12.3
2015,Prince Edward Island,Males under 18 years,15.3
2016,Prince Edward Island,Males under 18 years,11.9
2017,Prince Edward Island,Males under 18 years,15.1
2018,Prince Edward Island,Males under 18 years,10.4
2015,Prince Edward Island,Males 18 to 64 years,15.5
2016,Prince Edward Island,Males 18 to 64 years,10.9
2017,Prince Edward Island,Males 18 to 64 years,13.4
2018,Prince Edward Island,Males 18 to 64 years,14.4
2015,Prince Edward Island,Males 65 years and over,8.5
2016,Prince Edward Island,Males 65 years and over,F
2017,Prince Edward Island,Males 65 years and over,10.8
2018,Prince Edward Island,Males 65 years and over,7.3
2015,Prince Edward Island,Femmes,15.4
2016,Prince Edward Island,Femmes,13.6
2017,Prince Edward Island,Femmes,13.3
2018,Prince Edward Island,Femmes,11.5
2015,Prince Edward Island,Females under 18 years,15
2016,Prince Edward Island,Females under 18 years,18.2
2017,Prince Edward Island,Females under 18 years,11.3
2018,Prince Edward Island,Females under 18 years,F
2015,Prince Edward Island,Females 18 to 64 years,15.4
2016,Prince Edward Island,Females 18 to 64 years,12.9
2017,Prince Edward Island,Females 18 to 64 years,15.1
2018,Prince Edward Island,Females 18 to 64 years,11.9
2015,Prince Edward Island,Females 65 years and over,16.1
2016,Prince Edward Island,Females 65 years and over,11.7
2017,Prince Edward Island,Females 65 years and over,9.4
2018,Prince Edward Island,Females 65 years and over,12.6
2015,Nova Scotia,All persons,17
2016,Nova Scotia,All persons,16.2
2017,Nova Scotia,All persons,15
2018,Nova Scotia,All persons,13.3
2015,Nova Scotia,Persons under 18 years,20.7
2016,Nova Scotia,Persons under 18 years,19.1
2017,Nova Scotia,Persons under 18 years,19.4
2018,Nova Scotia,Persons under 18 years,14.8
2015,Nova Scotia,Persons 18 to 64 years,18
2016,Nova Scotia,Persons 18 to 64 years,18
