Year,Géographie,Age group,Sexe,Value
2015,Canada,Total 12 years and over,Both sexes,31.5
2016,Canada,Total 12 years and over,Both sexes,30.0
2017,Canada,Total 12 years and over,Both sexes,28.6
2018,Canada,Total 12 years and over,Both sexes,
2019,Canada,Total 12 years and over,Both sexes,
2015,Canada,Total 12 years and over,Hommes,24.8
2016,Canada,Total 12 years and over,Hommes,22.9
2017,Canada,Total 12 years and over,Hommes,22.3
2018,Canada,Total 12 years and over,Hommes,
2019,Canada,Total 12 years and over,Hommes,
2015,Canada,Total 12 years and over,Femmes,38.0
2016,Canada,Total 12 years and over,Femmes,36.9
2017,Canada,Total 12 years and over,Femmes,34.7
2018,Canada,Total 12 years and over,Femmes,
2019,Canada,Total 12 years and over,Femmes,
2015,Canada,12 to 17 years,Both sexes,31.3
2016,Canada,12 to 17 years,Both sexes,29.1
2017,Canada,12 to 17 years,Both sexes,27.5
2018,Canada,12 to 17 years,Both sexes,
2019,Canada,12 to 17 years,Both sexes,
2015,Canada,12 to 17 years,Hommes,30.3
2016,Canada,12 to 17 years,Hommes,27.7
2017,Canada,12 to 17 years,Hommes,24.4
2018,Canada,12 to 17 years,Hommes,
2019,Canada,12 to 17 years,Hommes,
2015,Canada,12 to 17 years,Femmes,32.3
2016,Canada,12 to 17 years,Femmes,30.5
2017,Canada,12 to 17 years,Femmes,30.7
2018,Canada,12 to 17 years,Femmes,
2019,Canada,12 to 17 years,Femmes,
2015,Canada,18 to 34 years,Both sexes,31.3
2016,Canada,18 to 34 years,Both sexes,30.4
2017,Canada,18 to 34 years,Both sexes,27.1
2018,Canada,18 to 34 years,Both sexes,
2019,Canada,18 to 34 years,Both sexes,
2015,Canada,18 to 34 years,Hommes,25.8
2016,Canada,18 to 34 years,Hommes,24.4
2017,Canada,18 to 34 years,Hommes,21.8
2018,Canada,18 to 34 years,Hommes,
2019,Canada,18 to 34 years,Hommes,
2015,Canada,18 to 34 years,Femmes,36.8
2016,Canada,18 to 34 years,Femmes,36.4
2017,Canada,18 to 34 years,Femmes,32.4
2018,Canada,18 to 34 years,Femmes,
2019,Canada,18 to 34 years,Femmes,
2015,Canada,35 to 49 years,Both sexes,32.9
2016,Canada,35 to 49 years,Both sexes,32.1
2017,Canada,35 to 49 years,Both sexes,30.1
2018,Canada,35 to 49 years,Both sexes,
2019,Canada,35 to 49 years,Both sexes,
2015,Canada,35 to 49 years,Hommes,25.2
2016,Canada,35 to 49 years,Hommes,23.5
2017,Canada,35 to 49 years,Hommes,23.3
2018,Canada,35 to 49 years,Hommes,
2019,Canada,35 to 49 years,Hommes,
2015,Canada,35 to 49 years,Femmes,40.3
2016,Canada,35 to 49 years,Femmes,40.4
2017,Canada,35 to 49 years,Femmes,36.7
2018,Canada,35 to 49 years,Femmes,
2019,Canada,35 to 49 years,Femmes,
2015,Canada,50 to 64 years,Both sexes,30.6
2016,Canada,50 to 64 years,Both sexes,28.4
2017,Canada,50 to 64 years,Both sexes,27.8
2018,Canada,50 to 64 years,Both sexes,
2019,Canada,50 to 64 years,Both sexes,
2015,Canada,50 to 64 years,Hommes,21.7
2016,Canada,50 to 64 years,Hommes,20.3
2017,Canada,50 to 64 years,Hommes,20.7
2018,Canada,50 to 64 years,Hommes,
2019,Canada,50 to 64 years,Hommes,
2015,Canada,50 to 64 years,Femmes,39.4
2016,Canada,50 to 64 years,Femmes,36.3
2017,Canada,50 to 64 years,Femmes,34.7
2018,Canada,50 to 64 years,Femmes,
2019,Canada,50 to 64 years,Femmes,
2015,Canada,65 ans et plus,Both sexes,31.5
2016,Canada,65 ans et plus,Both sexes,29.5
2017,Canada,65 ans et plus,Both sexes,30.6
2018,Canada,65 ans et plus,Both sexes,
2019,Canada,65 ans et plus,Both sexes,
2015,Canada,65 ans et plus,Hommes,24.9
2016,Canada,65 ans et plus,Hommes,21.3
2017,Canada,65 ans et plus,Hommes,23.3
2018,Canada,65 ans et plus,Hommes,
2019,Canada,65 ans et plus,Hommes,
2015,Canada,65 ans et plus,Femmes,36.9
2016,Canada,65 ans et plus,Femmes,36.3
2017,Canada,65 ans et plus,Femmes,36.7
2018,Canada,65 ans et plus,Femmes,
2019,Canada,65 ans et plus,Femmes,
2015,Terre-Neuve-et-Labrador,Total 12 years and over,Both sexes,22.5
2016,Terre-Neuve-et-Labrador,Total 12 years and over,Both sexes,18.3
2017,Terre-Neuve-et-Labrador,Total 12 years and over,Both sexes,18.3
2018,Terre-Neuve-et-Labrador,Total 12 years and over,Both sexes,
2019,Terre-Neuve-et-Labrador,Total 12 years and over,Both sexes,
2015,Terre-Neuve-et-Labrador,Total 12 years and over,Hommes,19.3
2016,Terre-Neuve-et-Labrador,Total 12 years and over,Hommes,13.9
2017,Terre-Neuve-et-Labrador,Total 12 years and over,Hommes,13.5
2018,Terre-Neuve-et-Labrador,Total 12 years and over,Hommes,
2019,Terre-Neuve-et-Labrador,Total 12 years and over,Hommes,
2015,Terre-Neuve-et-Labrador,Total 12 years and over,Femmes,25.5
2016,Terre-Neuve-et-Labrador,Total 12 years and over,Femmes,22.5
2017,Terre-Neuve-et-Labrador,Total 12 years and over,Femmes,22.8
2018,Terre-Neuve-et-Labrador,Total 12 years and over,Femmes,
2019,Terre-Neuve-et-Labrador,Total 12 years and over,Femmes,
2015,Terre-Neuve-et-Labrador,12 to 17 years,Both sexes,25.6
2016,Terre-Neuve-et-Labrador,12 to 17 years,Both sexes,22.3
2017,Terre-Neuve-et-Labrador,12 to 17 years,Both sexes,15.0
2018,Terre-Neuve-et-Labrador,12 to 17 years,Both sexes,
2019,Terre-Neuve-et-Labrador,12 to 17 years,Both sexes,
2015,Terre-Neuve-et-Labrador,12 to 17 years,Hommes,24.8
2016,Terre-Neuve-et-Labrador,12 to 17 years,Hommes,16.8
2017,Terre-Neuve-et-Labrador,12 to 17 years,Hommes,
2018,Terre-Neuve-et-Labrador,12 to 17 years,Hommes,
2019,Terre-Neuve-et-Labrador,12 to 17 years,Hommes,
2015,Terre-Neuve-et-Labrador,12 to 17 years,Femmes,26.5
2016,Terre-Neuve-et-Labrador,12 to 17 years,Femmes,27.9
2017,Terre-Neuve-et-Labrador,12 to 17 years,Femmes,15.5
2018,Terre-Neuve-et-Labrador,12 to 17 years,Femmes,
2019,Terre-Neuve-et-Labrador,12 to 17 years,Femmes,
2015,Terre-Neuve-et-Labrador,18 to 34 years,Both sexes,18.9
2016,Terre-Neuve-et-Labrador,18 to 34 years,Both sexes,16.7
2017,Terre-Neuve-et-Labrador,18 to 34 years,Both sexes,19.9
2018,Terre-Neuve-et-Labrador,18 to 34 years,Both sexes,
2019,Terre-Neuve-et-Labrador,18 to 34 years,Both sexes,
2015,Terre-Neuve-et-Labrador,18 to 34 years,Hommes,16.9
2016,Terre-Neuve-et-Labrador,18 to 34 years,Hommes,15.0
2017,Terre-Neuve-et-Labrador,18 to 34 years,Hommes,14.6
2018,Terre-Neuve-et-Labrador,18 to 34 years,Hommes,
2019,Terre-Neuve-et-Labrador,18 to 34 years,Hommes,
2015,Terre-Neuve-et-Labrador,18 to 34 years,Femmes,20.9
2016,Terre-Neuve-et-Labrador,18 to 34 years,Femmes,18.3
2017,Terre-Neuve-et-Labrador,18 to 34 years,Femmes,25.3
2018,Terre-Neuve-et-Labrador,18 to 34 years,Femmes,
2019,Terre-Neuve-et-Labrador,18 to 34 years,Femmes,
2015,Terre-Neuve-et-Labrador,35 to 49 years,Both sexes,27.1
2016,Terre-Neuve-et-Labrador,35 to 49 years,Both sexes,21.0
2017,Terre-Neuve-et-Labrador,35 to 49 years,Both sexes,18.6
2018,Terre-Neuve-et-Labrador,35 to 49 years,Both sexes,
2019,Terre-Neuve-et-Labrador,35 to 49 years,Both sexes,
2015,Terre-Neuve-et-Labrador,35 to 49 years,Hommes,20.7
2016,Terre-Neuve-et-Labrador,35 to 49 years,Hommes,9.4
2017,Terre-Neuve-et-Labrador,35 to 49 years,Hommes,11.2
2018,Terre-Neuve-et-Labrador,35 to 49 years,Hommes,
2019,Terre-Neuve-et-Labrador,35 to 49 years,Hommes,
2015,Terre-Neuve-et-Labrador,35 to 49 years,Femmes,32.8
2016,Terre-Neuve-et-Labrador,35 to 49 years,Femmes,31.9
2017,Terre-Neuve-et-Labrador,35 to 49 years,Femmes,25.9
2018,Terre-Neuve-et-Labrador,35 to 49 years,Femmes,
2019,Terre-Neuve-et-Labrador,35 to 49 years,Femmes,
2015,Terre-Neuve-et-Labrador,50 to 64 years,Both sexes,21.2
2016,Terre-Neuve-et-Labrador,50 to 64 years,Both sexes,18.0
2017,Terre-Neuve-et-Labrador,50 to 64 years,Both sexes,16.8
2018,Terre-Neuve-et-Labrador,50 to 64 years,Both sexes,
2019,Terre-Neuve-et-Labrador,50 to 64 years,Both sexes,
2015,Terre-Neuve-et-Labrador,50 to 64 years,Hommes,17.3
2016,Terre-Neuve-et-Labrador,50 to 64 years,Hommes,20.2
2017,Terre-Neuve-et-Labrador,50 to 64 years,Hommes,17.3
2018,Terre-Neuve-et-Labrador,50 to 64 years,Hommes,
2019,Terre-Neuve-et-Labrador,50 to 64 years,Hommes,
2015,Terre-Neuve-et-Labrador,50 to 64 years,Femmes,24.9
2016,Terre-Neuve-et-Labrador,50 to 64 years,Femmes,15.9
2017,Terre-Neuve-et-Labrador,50 to 64 years,Femmes,16.3
