Year,Géographie,Groupe d'âge,Sexe,Value
2015,Canada,"Total, 15 ans et plus",Les deux sexes,12.5
2015,Canada,"Total, 15 ans et plus",Homme,10.0
2015,Canada,"Total, 15 ans et plus",Femme,15.0
2015,Canada,15 à 24 ans,Les deux sexes,5.4
2015,Canada,15 à 24 ans,Homme,4.6
2015,Canada,15 à 24 ans,Femme,6.7
2015,Canada,25 à 54 ans,Les deux sexes,13.3
2015,Canada,25 à 54 ans,Homme,10.4
2015,Canada,25 à 54 ans,Femme,16.3
2015,Canada,25 à 34 ans,Les deux sexes,12.1
2015,Canada,25 à 34 ans,Homme,7.9
2015,Canada,25 à 34 ans,Femme,15.8
2015,Canada,35 à 44 ans,Les deux sexes,15.0
2015,Canada,35 à 44 ans,Homme,11.7
2015,Canada,35 à 44 ans,Femme,17.9
2015,Canada,45 à 54 ans,Les deux sexes,13.3
2015,Canada,45 à 54 ans,Homme,11.3
2015,Canada,45 à 54 ans,Femme,15.4
2015,Canada,55 à 64 ans,Les deux sexes,14.2
2015,Canada,55 à 64 ans,Homme,12.1
2015,Canada,55 à 64 ans,Femme,16.3
2015,Canada,65 ans et plus,Les deux sexes,15.0
2015,Canada,65 ans et plus,Homme,13.3
2015,Canada,65 ans et plus,Femme,16.7
2015,Canada,"Total, 15 ans et plus",Les deux sexes,8.8
2015,Canada,"Total, 15 ans et plus",Homme,7.1
2015,Canada,"Total, 15 ans et plus",Femme,10.0
2015,Canada,15 à 24 ans,Les deux sexes,3.8
2015,Canada,15 à 24 ans,Homme,3.3
2015,Canada,15 à 24 ans,Femme,4.2
2015,Canada,25 à 54 ans,Les deux sexes,8.3
2015,Canada,25 à 54 ans,Homme,6.7
2015,Canada,25 à 54 ans,Femme,10.0
2015,Canada,25 à 34 ans,Les deux sexes,6.7
2015,Canada,25 à 34 ans,Homme,5.0
2015,Canada,25 à 34 ans,Femme,8.3
2015,Canada,35 à 44 ans,Les deux sexes,8.3
2015,Canada,35 à 44 ans,Homme,6.7
2015,Canada,35 à 44 ans,Femme,10.0
2015,Canada,45 à 54 ans,Les deux sexes,10.0
2015,Canada,45 à 54 ans,Homme,8.8
2015,Canada,45 à 54 ans,Femme,11.3
2015,Canada,55 à 64 ans,Les deux sexes,10.8
2015,Canada,55 à 64 ans,Homme,9.6
2015,Canada,55 à 64 ans,Femme,12.1
2015,Canada,65 ans et plus,Les deux sexes,11.7
2015,Canada,65 ans et plus,Homme,10.0
2015,Canada,65 ans et plus,Femme,13.3
2015,Canada,"Total, 15 ans et plus",Les deux sexes,1.7
2015,Canada,"Total, 15 ans et plus",Homme,1.3
2015,Canada,"Total, 15 ans et plus",Femme,2.1
2015,Canada,15 à 24 ans,Les deux sexes,0.4
2015,Canada,15 à 24 ans,Homme,
2015,Canada,15 à 24 ans,Femme,0.4
2015,Canada,25 à 54 ans,Les deux sexes,2.9
2015,Canada,25 à 54 ans,Homme,2.1
2015,Canada,25 à 54 ans,Femme,3.8
2015,Canada,25 à 34 ans,Les deux sexes,3.3
2015,Canada,25 à 34 ans,Homme,1.7
2015,Canada,25 à 34 ans,Femme,5.0
2015,Canada,35 à 44 ans,Les deux sexes,4.2
2015,Canada,35 à 44 ans,Homme,3.3
2015,Canada,35 à 44 ans,Femme,5.4
2015,Canada,45 à 54 ans,Les deux sexes,1.3
2015,Canada,45 à 54 ans,Homme,0.8
2015,Canada,45 à 54 ans,Femme,1.3
2015,Canada,55 à 64 ans,Les deux sexes,0.4
2015,Canada,55 à 64 ans,Homme,
2015,Canada,55 à 64 ans,Femme,0.4
2015,Canada,65 ans et plus,Les deux sexes,0.4
2015,Canada,65 ans et plus,Homme,0.4
2015,Canada,65 ans et plus,Femme,0.4
2015,Canada,"Total, 15 ans et plus",Les deux sexes,
2015,Canada,"Total, 15 ans et plus",Homme,
2015,Canada,"Total, 15 ans et plus",Femme,
2015,Canada,15 à 24 ans,Les deux sexes,
2015,Canada,15 à 24 ans,Homme,
2015,Canada,15 à 24 ans,Femme,0.0
2015,Canada,25 à 54 ans,Les deux sexes,
2015,Canada,25 à 54 ans,Homme,
2015,Canada,25 à 54 ans,Femme,
2015,Canada,25 à 34 ans,Les deux sexes,
2015,Canada,25 à 34 ans,Homme,
2015,Canada,25 à 34 ans,Femme,
2015,Canada,35 à 44 ans,Les deux sexes,
2015,Canada,35 à 44 ans,Homme,
2015,Canada,35 à 44 ans,Femme,
2015,Canada,45 à 54 ans,Les deux sexes,
2015,Canada,45 à 54 ans,Homme,
2015,Canada,45 à 54 ans,Femme,
2015,Canada,55 à 64 ans,Les deux sexes,
2015,Canada,55 à 64 ans,Homme,
2015,Canada,55 à 64 ans,Femme,0.4
2015,Canada,65 ans et plus,Les deux sexes,
2015,Canada,65 ans et plus,Homme,
2015,Canada,65 ans et plus,Femme,
2015,Canada,"Total, 15 ans et plus",Les deux sexes,2.1
2015,Canada,"Total, 15 ans et plus",Homme,1.7
2015,Canada,"Total, 15 ans et plus",Femme,2.5
2015,Canada,15 à 24 ans,Les deux sexes,1.3
2015,Canada,15 à 24 ans,Homme,0.8
2015,Canada,15 à 24 ans,Femme,1.7
2015,Canada,25 à 54 ans,Les deux sexes,1.7
2015,Canada,25 à 54 ans,Homme,1.3
2015,Canada,25 à 54 ans,Femme,2.1
2015,Canada,25 à 34 ans,Les deux sexes,1.7
2015,Canada,25 à 34 ans,Homme,1.3
2015,Canada,25 à 34 ans,Femme,2.1
2015,Canada,35 à 44 ans,Les deux sexes,1.7
2015,Canada,35 à 44 ans,Homme,1.7
2015,Canada,35 à 44 ans,Femme,2.1
2015,Canada,45 à 54 ans,Les deux sexes,2.1
2015,Canada,45 à 54 ans,Homme,1.7
2015,Canada,45 à 54 ans,Femme,2.5
2015,Canada,55 à 64 ans,Les deux sexes,2.5
2015,Canada,55 à 64 ans,Homme,2.1
2015,Canada,55 à 64 ans,Femme,2.9
2015,Canada,65 ans et plus,Les deux sexes,2.5
2015,Canada,65 ans et plus,Homme,2.5
2015,Canada,65 ans et plus,Femme,2.9
2015,Atlantique,"Total, 15 ans et plus",Les deux sexes,13.3
2015,Atlantique,"Total, 15 ans et plus",Homme,11.3
2015,Atlantique,"Total, 15 ans et plus",Femme,15.4
2015,Atlantique,15 à 24 ans,Les deux sexes,5.8
2015,Atlantique,15 à 24 ans,Homme,5.4
2015,Atlantique,15 à 24 ans,Femme,6.3
2015,Atlantique,25 à 54 ans,Les deux sexes,13.8
2015,Atlantique,25 à 54 ans,Homme,11.3
2015,Atlantique,25 à 54 ans,Femme,16.3
2015,Atlantique,25 à 34 ans,Les deux sexes,12.5
2015,Atlantique,25 à 34 ans,Homme,8.8
2015,Atlantique,25 à 34 ans,Femme,15.8
2015,Atlantique,35 à 44 ans,Les deux sexes,14.6
2015,Atlantique,35 à 44 ans,Homme,12.5
2015,Atlantique,35 à 44 ans,Femme,17.1
2015,Atlantique,45 à 54 ans,Les deux sexes,14.2
2015,Atlantique,45 à 54 ans,Homme,11.7
2015,Atlantique,45 à 54 ans,Femme,16.3
2015,Atlantique,55 à 64 ans,Les deux sexes,15.4
2015,Atlantique,55 à 64 ans,Homme,13.3
2015,Atlantique,55 à 64 ans,Femme,17.5
2015,Atlantique,65 ans et plus,Les deux sexes,15.0
2015,Atlantique,65 ans et plus,Homme,13.3
2015,Atlantique,65 ans et plus,Femme,16.7
2015,Atlantique,"Total, 15 ans et plus",Les deux sexes,9.2
2015,Atlantique,"Total, 15 ans et plus",Homme,8.3
2015,Atlantique,"Total, 15 ans et plus",Femme,10.4
2015,Atlantique,15 à 24 ans,Les deux sexes,4.2
2015,Atlantique,15 à 24 ans,Homme,4.6
2015,Atlantique,15 à 24 ans,Femme,3.8
2015,Atlantique,25 à 54 ans,Les deux sexes,8.8
2015,Atlantique,25 à 54 ans,Homme,7.5
2015,Atlantique,25 à 54 ans,Femme,10.0
2015,Atlantique,25 à 34 ans,Les deux sexes,6.7
2015,Atlantique,25 à 34 ans,Homme,5.4
2015,Atlantique,25 à 34 ans,Femme,7.9
2015,Atlantique,35 à 44 ans,Les deux sexes,8.8
2015,Atlantique,35 à 44 ans,Homme,7.1
2015,Atlantique,35 à 44 ans,Femme,10.4
2015,Atlantique,45 à 54 ans,Les deux sexes,10.4
2015,Atlantique,45 à 54 ans,Homme,9.6
2015,Atlantique,45 à 54 ans,Femme,11.7
