Year,Geography,Sexe,Age group,Value
2015,Canada,Les deux sexes,15 years and over,6.9
2016,Canada,Les deux sexes,15 years and over,7.1
2017,Canada,Les deux sexes,15 years and over,6.4
2018,Canada,Les deux sexes,15 years and over,5.9
2019,Canada,Les deux sexes,15 years and over,5.7
2020,Canada,Les deux sexes,15 years and over,9.5
2015,Canada,Les deux sexes,15 to 24 years,12.9
2016,Canada,Les deux sexes,15 to 24 years,12.8
2017,Canada,Les deux sexes,15 to 24 years,11.4
2018,Canada,Les deux sexes,15 to 24 years,10.9
2019,Canada,Les deux sexes,15 to 24 years,11.0
2020,Canada,Les deux sexes,15 to 24 years,20.1
2015,Canada,Les deux sexes,25 years and over,5.9
2016,Canada,Les deux sexes,25 years and over,6.1
2017,Canada,Les deux sexes,25 years and over,5.5
2018,Canada,Les deux sexes,25 years and over,5.1
2019,Canada,Les deux sexes,25 years and over,4.8
2020,Canada,Les deux sexes,25 years and over,7.8
2015,Canada,Les deux sexes,25 to 44 years,6.1
2016,Canada,Les deux sexes,25 to 44 years,6.3
2017,Canada,Les deux sexes,25 to 44 years,5.6
2018,Canada,Les deux sexes,25 to 44 years,5.1
2019,Canada,Les deux sexes,25 to 44 years,5.1
2020,Canada,Les deux sexes,25 to 44 years,8.4
2015,Canada,Les deux sexes,45 to 64 years,5.8
2016,Canada,Les deux sexes,45 to 64 years,6.0
2017,Canada,Les deux sexes,45 to 64 years,5.5
2018,Canada,Les deux sexes,45 to 64 years,5.1
2019,Canada,Les deux sexes,45 to 64 years,4.6
2020,Canada,Les deux sexes,45 to 64 years,7.2
2015,Canada,Les deux sexes,45 years and over,5.7
2016,Canada,Les deux sexes,45 years and over,5.9
2017,Canada,Les deux sexes,45 years and over,5.4
2018,Canada,Les deux sexes,45 years and over,5.0
2019,Canada,Les deux sexes,45 years and over,4.6
2020,Canada,Les deux sexes,45 years and over,7.3
2015,Canada,Les deux sexes,25 to 54 years,5.9
2016,Canada,Les deux sexes,25 to 54 years,6.0
2017,Canada,Les deux sexes,25 to 54 years,5.5
2018,Canada,Les deux sexes,25 to 54 years,5.0
2019,Canada,Les deux sexes,25 to 54 years,4.8
2020,Canada,Les deux sexes,25 to 54 years,7.8
2015,Canada,Les deux sexes,55 years and over,5.9
2016,Canada,Les deux sexes,55 years and over,6.2
2017,Canada,Les deux sexes,55 years and over,5.7
2018,Canada,Les deux sexes,55 years and over,5.3
2019,Canada,Les deux sexes,55 years and over,5.1
2020,Canada,Les deux sexes,55 years and over,7.9
2015,Canada,Les deux sexes,15 to 64 years,7.0
2016,Canada,Les deux sexes,15 to 64 years,7.1
2017,Canada,Les deux sexes,15 to 64 years,6.4
2018,Canada,Les deux sexes,15 to 64 years,6.0
2019,Canada,Les deux sexes,15 to 64 years,5.8
2020,Canada,Les deux sexes,15 to 64 years,9.6
2015,Canada,Les deux sexes,15 to 19 years,17.8
2016,Canada,Les deux sexes,15 to 19 years,17.4
2017,Canada,Les deux sexes,15 to 19 years,15.6
2018,Canada,Les deux sexes,15 to 19 years,15.0
2019,Canada,Les deux sexes,15 to 19 years,14.7
2020,Canada,Les deux sexes,15 to 19 years,23.6
2015,Canada,Les deux sexes,20 to 24 years,10.1
2016,Canada,Les deux sexes,20 to 24 years,10.3
2017,Canada,Les deux sexes,20 to 24 years,9.1
2018,Canada,Les deux sexes,20 to 24 years,8.5
2019,Canada,Les deux sexes,20 to 24 years,8.9
2020,Canada,Les deux sexes,20 to 24 years,18.2
2015,Canada,Les deux sexes,25 to 29 years,7.5
2016,Canada,Les deux sexes,25 to 29 years,7.6
2017,Canada,Les deux sexes,25 to 29 years,7.2
2018,Canada,Les deux sexes,25 to 29 years,6.2
2019,Canada,Les deux sexes,25 to 29 years,6.3
2020,Canada,Les deux sexes,25 to 29 years,10.7
2015,Canada,Les deux sexes,30 to 34 years,5.8
2016,Canada,Les deux sexes,30 to 34 years,6.3
2017,Canada,Les deux sexes,30 to 34 years,5.4
2018,Canada,Les deux sexes,30 to 34 years,5.1
2019,Canada,Les deux sexes,30 to 34 years,5.2
2020,Canada,Les deux sexes,30 to 34 years,8.3
2015,Canada,Les deux sexes,35 to 39 years,5.8
2016,Canada,Les deux sexes,35 to 39 years,5.5
2017,Canada,Les deux sexes,35 to 39 years,4.9
2018,Canada,Les deux sexes,35 to 39 years,4.6
2019,Canada,Les deux sexes,35 to 39 years,4.6
2020,Canada,Les deux sexes,35 to 39 years,7.7
2015,Canada,Les deux sexes,40 to 44 years,5.5
2016,Canada,Les deux sexes,40 to 44 years,5.7
2017,Canada,Les deux sexes,40 to 44 years,5.1
2018,Canada,Les deux sexes,40 to 44 years,4.5
2019,Canada,Les deux sexes,40 to 44 years,4.3
2020,Canada,Les deux sexes,40 to 44 years,6.7
2015,Canada,Les deux sexes,45 to 49 years,5.2
2016,Canada,Les deux sexes,45 to 49 years,5.5
2017,Canada,Les deux sexes,45 to 49 years,5.4
2018,Canada,Les deux sexes,45 to 49 years,5.0
2019,Canada,Les deux sexes,45 to 49 years,3.9
2020,Canada,Les deux sexes,45 to 49 years,6.4
2015,Canada,Les deux sexes,50 to 54 years,5.7
2016,Canada,Les deux sexes,50 to 54 years,5.7
2017,Canada,Les deux sexes,50 to 54 years,5.0
2018,Canada,Les deux sexes,50 to 54 years,4.5
2019,Canada,Les deux sexes,50 to 54 years,4.2
2020,Canada,Les deux sexes,50 to 54 years,6.7
2015,Canada,Les deux sexes,55 to 59 years,6.0
2016,Canada,Les deux sexes,55 to 59 years,6.1
2017,Canada,Les deux sexes,55 to 59 years,5.4
2018,Canada,Les deux sexes,55 to 59 years,5.1
2019,Canada,Les deux sexes,55 to 59 years,4.9
2020,Canada,Les deux sexes,55 to 59 years,7.6
2015,Canada,Les deux sexes,60 to 64 years,6.6
2016,Canada,Les deux sexes,60 to 64 years,7.2
2017,Canada,Les deux sexes,60 to 64 years,6.6
2018,Canada,Les deux sexes,60 to 64 years,6.0
2019,Canada,Les deux sexes,60 to 64 years,6.0
2020,Canada,Les deux sexes,60 to 64 years,8.6
2015,Canada,Les deux sexes,65 years and over,4.7
2016,Canada,Les deux sexes,65 years and over,4.7
2017,Canada,Les deux sexes,65 years and over,5.2
2018,Canada,Les deux sexes,65 years and over,4.4
2019,Canada,Les deux sexes,65 years and over,4.1
2020,Canada,Les deux sexes,65 years and over,7.5
2015,Canada,Les deux sexes,65 to 69 years,5.3
2016,Canada,Les deux sexes,65 to 69 years,5.2
2017,Canada,Les deux sexes,65 to 69 years,5.7
2018,Canada,Les deux sexes,65 to 69 years,4.8
2019,Canada,Les deux sexes,65 to 69 years,4.5
2020,Canada,Les deux sexes,65 to 69 years,9.1
2015,Canada,Les deux sexes,70 years and over,3.5
2016,Canada,Les deux sexes,70 years and over,3.9
2017,Canada,Les deux sexes,70 years and over,4.4
2018,Canada,Les deux sexes,70 years and over,3.6
2019,Canada,Les deux sexes,70 years and over,3.4
2020,Canada,Les deux sexes,70 years and over,5.0
2015,Canada,Hommes,15 years and over,7.5
2016,Canada,Hommes,15 years and over,7.7
2017,Canada,Hommes,15 years and over,6.8
2018,Canada,Hommes,15 years and over,6.2
2019,Canada,Hommes,15 years and over,6.1
2020,Canada,Hommes,15 years and over,9.6
2015,Canada,Hommes,15 to 24 years,14.7
2016,Canada,Hommes,15 to 24 years,14.6
2017,Canada,Hommes,15 to 24 years,13.1
2018,Canada,Hommes,15 to 24 years,12.2
2019,Canada,Hommes,15 to 24 years,12.2
2020,Canada,Hommes,15 to 24 years,20.7
2015,Canada,Hommes,25 years and over,6.3
2016,Canada,Hommes,25 years and over,6.6
2017,Canada,Hommes,25 years and over,5.8
2018,Canada,Hommes,25 years and over,5.2
2019,Canada,Hommes,25 years and over,5.1
2020,Canada,Hommes,25 years and over,7.9
2015,Canada,Hommes,25 to 44 years,6.5
2016,Canada,Hommes,25 to 44 years,6.8
2017,Canada,Hommes,25 to 44 years,5.9
2018,Canada,Hommes,25 to 44 years,5.2
2019,Canada,Hommes,25 to 44 years,5.4
2020,Canada,Hommes,25 to 44 years,8.5
2015,Canada,Hommes,45 to 64 years,6.2
2016,Canada,Hommes,45 to 64 years,6.5
2017,Canada,Hommes,45 to 64 years,5.7
2018,Canada,Hommes,45 to 64 years,5.2
2019,Canada,Hommes,45 to 64 years,4.9
2020,Canada,Hommes,45 to 64 years,7.2
2015,Canada,Hommes,45 years and over,6.1
2016,Canada,Hommes,45 years and over,6.4
2017,Canada,Hommes,45 years and over,5.7
2018,Canada,Hommes,45 years and over,5.1
2019,Canada,Hommes,45 years and over,4.8
2020,Canada,Hommes,45 years and over,7.2
2015,Canada,Hommes,25 to 54 years,6.3
2016,Canada,Hommes,25 to 54 years,6.5
2017,Canada,Hommes,25 to 54 years,5.7
2018,Canada,Hommes,25 to 54 years,5.0
2019,Canada,Hommes,25 to 54 years,5.0
2020,Canada,Hommes,25 to 54 years,7.8
2015,Canada,Hommes,55 years and over,6.3
2016,Canada,Hommes,55 years and over,6.7
2017,Canada,Hommes,55 years and over,6.1
2018,Canada,Hommes,55 years and over,5.6
2019,Canada,Hommes,55 years and over,5.4
2020,Canada,Hommes,55 years and over,8.0
2015,Canada,Hommes,15 to 64 years,7.6
2016,Canada,Hommes,15 to 64 years,7.8
2017,Canada,Hommes,15 to 64 years,6.9
2018,Canada,Hommes,15 to 64 years,6.2
2019,Canada,Hommes,15 to 64 years,6.2
2020,Canada,Hommes,15 to 64 years,9.8
2015,Canada,Hommes,15 to 19 years,19.5
2016,Canada,Hommes,15 to 19 years,19.4
2017,Canada,Hommes,15 to 19 years,17.5
2018,Canada,Hommes,15 to 19 years,16.4
2019,Canada,Hommes,15 to 19 years,15.8
2020,Canada,Hommes,15 to 19 years,24.1
2015,Canada,Hommes,20 to 24 years,12.1
2016,Canada,Hommes,20 to 24 years,12.0
2017,Canada,Hommes,20 to 24 years,10.7
2018,Canada,Hommes,20 to 24 years,9.9
2019,Canada,Hommes,20 to 24 years,10.3
2020,Canada,Hommes,20 to 24 years,19.0
2015,Canada,Hommes,25 to 29 years,8.3
2016,Canada,Hommes,25 to 29 years,8.6
2017,Canada,Hommes,25 to 29 years,7.9
2018,Canada,Hommes,25 to 29 years,6.9
2019,Canada,Hommes,25 to 29 years,7.0
2020,Canada,Hommes,25 to 29 years,11.7
2015,Canada,Hommes,30 to 34 years,6.2
2016,Canada,Hommes,30 to 34 years,6.9
2017,Canada,Hommes,30 to 34 years,5.5
2018,Canada,Hommes,30 to 34 years,5.3
2019,Canada,Hommes,30 to 34 years,5.3
2020,Canada,Hommes,30 to 34 years,8.3
2015,Canada,Hommes,35 to 39 years,5.9
2016,Canada,Hommes,35 to 39 years,5.5
2017,Canada,Hommes,35 to 39 years,5.1
2018,Canada,Hommes,35 to 39 years,4.3
2019,Canada,Hommes,35 to 39 years,4.7
2020,Canada,Hommes,35 to 39 years,7.5
2015,Canada,Hommes,40 to 44 years,5.6
2016,Canada,Hommes,40 to 44 years,6.1
2017,Canada,Hommes,40 to 44 years,5.0
2018,Canada,Hommes,40 to 44 years,4.3
2019,Canada,Hommes,40 to 44 years,4.4
2020,Canada,Hommes,40 to 44 years,6.5
2015,Canada,Hommes,45 to 49 years,5.5
2016,Canada,Hommes,45 to 49 years,5.8
2017,Canada,Hommes,45 to 49 years,5.2
2018,Canada,Hommes,45 to 49 years,4.9
2019,Canada,Hommes,45 to 49 years,3.9
2020,Canada,Hommes,45 to 49 years,5.9
2015,Canada,Hommes,50 to 54 years,6.2
2016,Canada,Hommes,50 to 54 years,6.4
2017,Canada,Hommes,50 to 54 years,5.2
2018,Canada,Hommes,50 to 54 years,4.4
2019,Canada,Hommes,50 to 54 years,4.3
2020,Canada,Hommes,50 to 54 years,6.5
2015,Canada,Hommes,55 to 59 years,6.3
2016,Canada,Hommes,55 to 59 years,6.6
2017,Canada,Hommes,55 to 59 years,5.7
2018,Canada,Hommes,55 to 59 years,5.4
2019,Canada,Hommes,55 to 59 years,5.3
2020,Canada,Hommes,55 to 59 years,7.9
2015,Canada,Hommes,60 to 64 years,7.3
2016,Canada,Hommes,60 to 64 years,7.8
2017,Canada,Hommes,60 to 64 years,7.1
2018,Canada,Hommes,60 to 64 years,6.6
2019,Canada,Hommes,60 to 64 years,6.6
2020,Canada,Hommes,60 to 64 years,8.9
2015,Canada,Hommes,65 years and over,5.0
2016,Canada,Hommes,65 years and over,5.5
2017,Canada,Hommes,65 years and over,5.4
2018,Canada,Hommes,65 years and over,4.7
2019,Canada,Hommes,65 years and over,4.1
2020,Canada,Hommes,65 years and over,7.1
2015,Canada,Hommes,65 to 69 years,5.9
2016,Canada,Hommes,65 to 69 years,6.1
2017,Canada,Hommes,65 to 69 years,6.1
2018,Canada,Hommes,65 to 69 years,5.3
2019,Canada,Hommes,65 to 69 years,5.0
2020,Canada,Hommes,65 to 69 years,9.0
2015,Canada,Hommes,70 years and over,3.3
2016,Canada,Hommes,70 years and over,4.5
2017,Canada,Hommes,70 years and over,4.4
2018,Canada,Hommes,70 years and over,3.8
2019,Canada,Hommes,70 years and over,2.8
2020,Canada,Hommes,70 years and over,4.2
