Year,Geography,Age group,Sexe,Value
2016,Canada,Total 15 to 29 years,Both sexes,13.0
2017,Canada,Total 15 to 29 years,Both sexes,12.0
2018,Canada,Total 15 to 29 years,Both sexes,12.0
2019,Canada,Total 15 to 29 years,Both sexes,11.0
2020,Canada,Total 15 to 29 years,Both sexes,14.0
2016,Canada,Total 15 to 29 years,Hommes,14.0
2017,Canada,Total 15 to 29 years,Hommes,12.0
2018,Canada,Total 15 to 29 years,Hommes,12.0
2019,Canada,Total 15 to 29 years,Hommes,12.0
2020,Canada,Total 15 to 29 years,Hommes,14.0
2016,Canada,Total 15 to 29 years,Femmes,12.0
2017,Canada,Total 15 to 29 years,Femmes,12.0
2018,Canada,Total 15 to 29 years,Femmes,12.0
2019,Canada,Total 15 to 29 years,Femmes,11.0
2020,Canada,Total 15 to 29 years,Femmes,13.0
2016,Canada,15 to 19 years,Both sexes,6.0
2017,Canada,15 to 19 years,Both sexes,6.0
2018,Canada,15 to 19 years,Both sexes,6.0
2019,Canada,15 to 19 years,Both sexes,6.0
2020,Canada,15 to 19 years,Both sexes,9.0
2016,Canada,15 to 19 years,Hommes,7.0
2017,Canada,15 to 19 years,Hommes,7.0
2018,Canada,15 to 19 years,Hommes,7.0
2019,Canada,15 to 19 years,Hommes,7.0
2020,Canada,15 to 19 years,Hommes,10.0
2016,Canada,15 to 19 years,Femmes,5.0
2017,Canada,15 to 19 years,Femmes,5.0
2018,Canada,15 to 19 years,Femmes,5.0
2019,Canada,15 to 19 years,Femmes,5.0
2020,Canada,15 to 19 years,Femmes,8.0
2016,Canada,15 to 24 years,Both sexes,11.0
2017,Canada,15 to 24 years,Both sexes,10.0
2018,Canada,15 to 24 years,Both sexes,10.0
2019,Canada,15 to 24 years,Both sexes,9.0
2020,Canada,15 to 24 years,Both sexes,12.0
2016,Canada,15 to 24 years,Hommes,12.0
2017,Canada,15 to 24 years,Hommes,11.0
2018,Canada,15 to 24 years,Hommes,11.0
2019,Canada,15 to 24 years,Hommes,10.0
2020,Canada,15 to 24 years,Hommes,13.0
2016,Canada,15 to 24 years,Femmes,9.0
2017,Canada,15 to 24 years,Femmes,9.0
2018,Canada,15 to 24 years,Femmes,9.0
2019,Canada,15 to 24 years,Femmes,8.0
2020,Canada,15 to 24 years,Femmes,10.0
2016,Canada,18 to 24 years,Both sexes,13.0
2017,Canada,18 to 24 years,Both sexes,12.0
2018,Canada,18 to 24 years,Both sexes,12.0
2019,Canada,18 to 24 years,Both sexes,12.0
2020,Canada,18 to 24 years,Both sexes,13.0
2016,Canada,18 to 24 years,Hommes,15.0
2017,Canada,18 to 24 years,Hommes,13.0
2018,Canada,18 to 24 years,Hommes,14.0
2019,Canada,18 to 24 years,Hommes,13.0
2020,Canada,18 to 24 years,Hommes,15.0
2016,Canada,18 to 24 years,Femmes,11.0
2017,Canada,18 to 24 years,Femmes,11.0
2018,Canada,18 to 24 years,Femmes,11.0
2019,Canada,18 to 24 years,Femmes,10.0
2020,Canada,18 to 24 years,Femmes,11.0
2016,Canada,20 to 24 years,Both sexes,14.0
2017,Canada,20 to 24 years,Both sexes,13.0
2018,Canada,20 to 24 years,Both sexes,13.0
2019,Canada,20 to 24 years,Both sexes,12.0
2020,Canada,20 to 24 years,Both sexes,14.0
2016,Canada,20 to 24 years,Hommes,16.0
2017,Canada,20 to 24 years,Hommes,14.0
2018,Canada,20 to 24 years,Hommes,14.0
2019,Canada,20 to 24 years,Hommes,13.0
2020,Canada,20 to 24 years,Hommes,16.0
2016,Canada,20 to 24 years,Femmes,13.0
2017,Canada,20 to 24 years,Femmes,12.0
2018,Canada,20 to 24 years,Femmes,12.0
2019,Canada,20 to 24 years,Femmes,11.0
2020,Canada,20 to 24 years,Femmes,12.0
2016,Canada,25 to 29 years,Both sexes,17.0
2017,Canada,25 to 29 years,Both sexes,16.0
2018,Canada,25 to 29 years,Both sexes,15.0
2019,Canada,25 to 29 years,Both sexes,14.0
2020,Canada,25 to 29 years,Both sexes,17.0
2016,Canada,25 to 29 years,Hommes,16.0
2017,Canada,25 to 29 years,Hommes,16.0
2018,Canada,25 to 29 years,Hommes,14.0
2019,Canada,25 to 29 years,Hommes,14.0
2020,Canada,25 to 29 years,Hommes,16.0
2016,Canada,25 to 29 years,Femmes,18.0
2017,Canada,25 to 29 years,Femmes,17.0
2018,Canada,25 to 29 years,Femmes,17.0
2019,Canada,25 to 29 years,Femmes,15.0
2020,Canada,25 to 29 years,Femmes,18.0
2016,Newfoundland and Labrador,Total 15 to 29 years,Both sexes,18.0
2017,Newfoundland and Labrador,Total 15 to 29 years,Both sexes,21.0
2018,Newfoundland and Labrador,Total 15 to 29 years,Both sexes,17.0
2019,Newfoundland and Labrador,Total 15 to 29 years,Both sexes,18.0
2020,Newfoundland and Labrador,Total 15 to 29 years,Both sexes,19.0
2016,Newfoundland and Labrador,Total 15 to 29 years,Hommes,23.0
2017,Newfoundland and Labrador,Total 15 to 29 years,Hommes,25.0
2018,Newfoundland and Labrador,Total 15 to 29 years,Hommes,20.0
2019,Newfoundland and Labrador,Total 15 to 29 years,Hommes,21.0
2020,Newfoundland and Labrador,Total 15 to 29 years,Hommes,22.0
2016,Newfoundland and Labrador,Total 15 to 29 years,Femmes,14.0
2017,Newfoundland and Labrador,Total 15 to 29 years,Femmes,18.0
2018,Newfoundland and Labrador,Total 15 to 29 years,Femmes,13.0
2019,Newfoundland and Labrador,Total 15 to 29 years,Femmes,13.0
2020,Newfoundland and Labrador,Total 15 to 29 years,Femmes,17.0
2016,Newfoundland and Labrador,15 to 19 years,Both sexes,5.0
2017,Newfoundland and Labrador,15 to 19 years,Both sexes,9.0
2018,Newfoundland and Labrador,15 to 19 years,Both sexes,5.0
2019,Newfoundland and Labrador,15 to 19 years,Both sexes,9.0
2020,Newfoundland and Labrador,15 to 19 years,Both sexes,11.0
2016,Newfoundland and Labrador,15 to 19 years,Hommes,7.0
2017,Newfoundland and Labrador,15 to 19 years,Hommes,10.0
2018,Newfoundland and Labrador,15 to 19 years,Hommes,8.0
2019,Newfoundland and Labrador,15 to 19 years,Hommes,13.0
2020,Newfoundland and Labrador,15 to 19 years,Hommes,15.0
2016,Newfoundland and Labrador,15 to 19 years,Femmes,
2017,Newfoundland and Labrador,15 to 19 years,Femmes,7.0
2018,Newfoundland and Labrador,15 to 19 years,Femmes,
2019,Newfoundland and Labrador,15 to 19 years,Femmes,
2020,Newfoundland and Labrador,15 to 19 years,Femmes,8.0
2016,Newfoundland and Labrador,15 to 24 years,Both sexes,15.0
2017,Newfoundland and Labrador,15 to 24 years,Both sexes,17.0
2018,Newfoundland and Labrador,15 to 24 years,Both sexes,12.0
2019,Newfoundland and Labrador,15 to 24 years,Both sexes,14.0
2020,Newfoundland and Labrador,15 to 24 years,Both sexes,17.0
2016,Newfoundland and Labrador,15 to 24 years,Hommes,19.0
2017,Newfoundland and Labrador,15 to 24 years,Hommes,21.0
2018,Newfoundland and Labrador,15 to 24 years,Hommes,15.0
2019,Newfoundland and Labrador,15 to 24 years,Hommes,17.0
2020,Newfoundland and Labrador,15 to 24 years,Hommes,20.0
