Year,Géographie,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2018,Colombie-Britannique,,,,,,68.9
2018,Alberta,,,,,,95.3
2018,Saskatchewan,,,,,,98.4
2018,Manitoba,,,,,,83.3
2018,Ontario,,,,,,92.7
2018,Québec,,,,,,88.6
2018,Nouveau-Brunswick,,,,,,99.4
2018,Nouvelle-Écosse,,,,,,98.1
2018,Île-du-Prince-Édouard,,,,,,99.9
2018,Terre-Neuve-et-Labrador,,,,,,64.7
2018,Yukon,,,,,,34.7
2018,Territoires du Nord-Ouest,,,,,,30.4
2018,Nunavut,,,,,,
2018,Canada,,,,,,87.2
2019,Colombie-Britannique,,,,,,71.8
2019,Alberta,,,,,,96.0
2019,Saskatchewan,,,,,,98.8
2019,Manitoba,,,,,,93.2
2019,Ontario,,,,,,93.4
2019,Québec,,,,,,89.3
2019,Nouveau-Brunswick,,,,,,99.4
2019,Nouvelle-Écosse,,,,,,98.3
2019,Île-du-Prince-Édouard,,,,,,99.9
2019,Terre-Neuve-et-Labrador,,,,,,66.5
2019,Yukon,,,,,,34.9
2019,Territoires du Nord-Ouest,,,,,,31.7
2019,Nunavut,,,,,,
2019,Canada,,,,,,88.8
