Year,NAICS Sector,Value
2015,Accommodation and food services,-4.2
2017,Accommodation and food services,-6.8
2015,"Administrative and support, waste management and remediation services",64.3
2017,"Administrative and support, waste management and remediation services",2.2
2015,"Agriculture, forestry, fishing and hunting",52.7
2017,"Agriculture, forestry, fishing and hunting",14.6
2015,"Arts, entertainment and recreation",-11.9
2017,"Arts, entertainment and recreation",-11.0
2015,Educational services,-13.4
2017,Educational services,0.2
2015,Finance and insurance,-20.4
2017,Finance and insurance,-8.4
2015,Government services,-19.9
2017,Government services,-13.1
2015,Health care and social assistance,-17.6
2017,Health care and social assistance,-15.1
2015,Households,1.0
2017,Households,-6.1
2015,Information and cultural industries,-27.1
2017,Information and cultural industries,96.4
2015,Manufacturing,-7.7
2017,Manufacturing,1.9
2015,"Mining, quarrying, and oil and gas extraction",-6.4
2017,"Mining, quarrying, and oil and gas extraction",0.4
2015,Non-profit institutions serving households,-21.9
2017,Non-profit institutions serving households,-8.0
2015,"Other finance, insurance and real estate services and management of companies and enterprises",-10.1
2017,"Other finance, insurance and real estate services and management of companies and enterprises",-12.4
2015,Other services (except public administration,-15.6
2017,Other services (except public administration,-10.8
2015,"Professional, scientific and technical services",-20.2
2017,"Professional, scientific and technical services",-15.3
2015,Real estate and rental and leasing,-14.7
2017,Real estate and rental and leasing,-12.9
2015,Retail Trade,-13.1
2017,Retail Trade,-14.5
2015,"Total, industries",-3.0
2017,"Total, industries",1.7
2015,"Total, industries and households",-2.7
2017,"Total, industries and households",1.0
2015,Transportation and warehousing,-1.5
2017,Transportation and warehousing,-8.4
2015,Wholesale trade,-17.4
2017,Wholesale trade,-14.5
