Year,data.Geography,data.Sex,data.Age group,Value
2015,data.Canada,data.Both sexes,data.15 years and over,0.26
2016,data.Canada,data.Both sexes,data.15 years and over,0.25
2017,data.Canada,data.Both sexes,data.15 years and over,0.24
2018,data.Canada,data.Both sexes,data.15 years and over,0.22
2019,data.Canada,data.Both sexes,data.15 years and over,0.2
2020,data.Canada,data.Both sexes,data.15 years and over,0.23
2015,data.Canada,data.Both sexes,data.15 to 24 years,0.19
2016,data.Canada,data.Both sexes,data.15 to 24 years,0.18
2017,data.Canada,data.Both sexes,data.15 to 24 years,0.18
2018,data.Canada,data.Both sexes,data.15 to 24 years,0.16
2019,data.Canada,data.Both sexes,data.15 to 24 years,0.14
2020,data.Canada,data.Both sexes,data.15 to 24 years,0.17
2015,data.Canada,data.Both sexes,data.25 years and over,0.3
2016,data.Canada,data.Both sexes,data.25 years and over,0.29
2017,data.Canada,data.Both sexes,data.25 years and over,0.28
2018,data.Canada,data.Both sexes,data.25 years and over,0.25
2019,data.Canada,data.Both sexes,data.25 years and over,0.22
2020,data.Canada,data.Both sexes,data.25 years and over,0.26
2015,data.Canada,data.Both sexes,data.25 to 44 years,0.36
2016,data.Canada,data.Both sexes,data.25 to 44 years,0.34
2017,data.Canada,data.Both sexes,data.25 to 44 years,0.34
2018,data.Canada,data.Both sexes,data.25 to 44 years,0.31
2019,data.Canada,data.Both sexes,data.25 to 44 years,0.28
2020,data.Canada,data.Both sexes,data.25 to 44 years,0.31
2015,data.Canada,data.Both sexes,data.45 years and over,0.25
2016,data.Canada,data.Both sexes,data.45 years and over,0.25
2017,data.Canada,data.Both sexes,data.45 years and over,0.23
2018,data.Canada,data.Both sexes,data.45 years and over,0.21
2019,data.Canada,data.Both sexes,data.45 years and over,0.19
2020,data.Canada,data.Both sexes,data.45 years and over,0.23
2015,data.Canada,data.Both sexes,data.25 to 54 years,0.36
2016,data.Canada,data.Both sexes,data.25 to 54 years,0.35
2017,data.Canada,data.Both sexes,data.25 to 54 years,0.34
2018,data.Canada,data.Both sexes,data.25 to 54 years,0.31
2019,data.Canada,data.Both sexes,data.25 to 54 years,0.28
2020,data.Canada,data.Both sexes,data.25 to 54 years,0.31
2015,data.Canada,data.Both sexes,data.55 years and over,0.19
2016,data.Canada,data.Both sexes,data.55 years and over,0.18
2017,data.Canada,data.Both sexes,data.55 years and over,0.17
2018,data.Canada,data.Both sexes,data.55 years and over,0.15
2019,data.Canada,data.Both sexes,data.55 years and over,0.14
2020,data.Canada,data.Both sexes,data.55 years and over,0.18
2015,data.Canada,data.Both sexes,data.55 to 64 years,0.24
2016,data.Canada,data.Both sexes,data.55 to 64 years,0.24
2017,data.Canada,data.Both sexes,data.55 to 64 years,0.23
2018,data.Canada,data.Both sexes,data.55 to 64 years,0.2
2019,data.Canada,data.Both sexes,data.55 to 64 years,0.19
2020,data.Canada,data.Both sexes,data.55 to 64 years,0.24
2015,data.Canada,data.Both sexes,data.65 years and over,0.09
2016,data.Canada,data.Both sexes,data.65 years and over,0.08
2017,data.Canada,data.Both sexes,data.65 years and over,
2018,data.Canada,data.Both sexes,data.65 years and over,0.08
2019,data.Canada,data.Both sexes,data.65 years and over,0.06
2020,data.Canada,data.Both sexes,data.65 years and over,0.09
2015,data.Canada,data.Males,data.15 years and over,0.28
2016,data.Canada,data.Males,data.15 years and over,0.27
2017,data.Canada,data.Males,data.15 years and over,0.26
2018,data.Canada,data.Males,data.15 years and over,0.24
2019,data.Canada,data.Males,data.15 years and over,0.21
2020,data.Canada,data.Males,data.15 years and over,0.26
2015,data.Canada,data.Males,data.15 to 24 years,0.2
2016,data.Canada,data.Males,data.15 to 24 years,0.19
2017,data.Canada,data.Males,data.15 to 24 years,0.19
2018,data.Canada,data.Males,data.15 to 24 years,0.16
2019,data.Canada,data.Males,data.15 to 24 years,0.14
2020,data.Canada,data.Males,data.15 to 24 years,0.18
2015,data.Canada,data.Males,data.25 years and over,0.34
2016,data.Canada,data.Males,data.25 years and over,0.33
2017,data.Canada,data.Males,data.25 years and over,0.31
2018,data.Canada,data.Males,data.25 years and over,0.29
2019,data.Canada,data.Males,data.25 years and over,0.26
2020,data.Canada,data.Males,data.25 years and over,0.32
2015,data.Canada,data.Males,data.25 to 44 years,0.47
2016,data.Canada,data.Males,data.25 to 44 years,0.46
2017,data.Canada,data.Males,data.25 to 44 years,0.43
2018,data.Canada,data.Males,data.25 to 44 years,0.41
