Year,data.Download speed category (Mbps),data.Population centres,Value
2016,data.1.5 + Mbps,data.Large population centres,99.9
2016,data.1.5 + Mbps,data.Medium population centres,99.9
2016,data.1.5 + Mbps,data.Rural areas,92.7
2016,data.1.5 + Mbps,data.Small population centres,99.9
2016,data.100 + Mbps,data.Large population centres,97.9
2016,data.100 + Mbps,data.Medium population centres,97.5
2016,data.100 + Mbps,data.Rural areas,36.9
2016,data.100 + Mbps,data.Small population centres,83.8
2016,data.50/10/Unlimited,data.Large population centres,98.9
2016,data.50/10/Unlimited,data.Medium population centres,91.1
2016,data.50/10/Unlimited,data.Rural areas,38.9
2016,data.50/10/Unlimited,data.Small population centres,84.4
2017,data.1.5 + Mbps,data.Large population centres,100.0
2017,data.1.5 + Mbps,data.Medium population centres,100.0
2017,data.1.5 + Mbps,data.Rural areas,94.0
2017,data.1.5 + Mbps,data.Small population centres,99.9
2017,data.100 + Mbps,data.Large population centres,99.0
2017,data.100 + Mbps,data.Medium population centres,98.7
2017,data.100 + Mbps,data.Rural areas,35.5
2017,data.100 + Mbps,data.Small population centres,86.8
2017,data.50/10/Unlimited,data.Large population centres,98.7
2017,data.50/10/Unlimited,data.Medium population centres,98.6
2017,data.50/10/Unlimited,data.Rural areas,37.2
2017,data.50/10/Unlimited,data.Small population centres,86.0
2018,data.1.5 + Mbps,data.Large population centres,100.0
2018,data.1.5 + Mbps,data.Medium population centres,100.0
2018,data.1.5 + Mbps,data.Rural areas,94.2
2018,data.1.5 + Mbps,data.Small population centres,100.0
2018,data.100 + Mbps,data.Large population centres,99.1
2018,data.100 + Mbps,data.Medium population centres,98.9
2018,data.100 + Mbps,data.Rural areas,37.9
2018,data.100 + Mbps,data.Small population centres,89.3
2018,data.50/10/Unlimited,data.Large population centres,99.4
2018,data.50/10/Unlimited,data.Medium population centres,99.2
2018,data.50/10/Unlimited,data.Rural areas,40.8
2018,data.50/10/Unlimited,data.Small population centres,88.7
2019,data.1.5 + Mbps,data.Large population centres,100.0
2019,data.1.5 + Mbps,data.Medium population centres,100.0
2019,data.1.5 + Mbps,data.Rural areas,94.4
2019,data.1.5 + Mbps,data.Small population centres,99.9
2019,data.100 + Mbps,data.Large population centres,99.4
2019,data.100 + Mbps,data.Medium population centres,99.2
2019,data.100 + Mbps,data.Rural areas,40.8
2019,data.100 + Mbps,data.Small population centres,91.1
2019,data.50/10/Unlimited,data.Large population centres,99.6
2019,data.50/10/Unlimited,data.Medium population centres,99.4
2019,data.50/10/Unlimited,data.Rural areas,45.6
2019,data.50/10/Unlimited,data.Small population centres,93.1
