Value,Disaggregation combinations using this value,Number of indicators
data.15 to 19 years,33,1
data.15 to 24 years,33,1
data.15 to 64 years,33,1
data.15 years and over,36,1
data.20 to 24 years,33,1
data.25 to 29 years,33,1
data.25 to 44 years,33,1
data.25 to 54 years,33,1
data.25 years and over,33,1
data.30 to 34 years,33,1
data.35 to 39 years,33,1
data.40 to 44 years,33,1
data.45 to 49 years,33,1
data.45 to 64 years,33,1
data.45 years and over,33,1
data.50 to 54 years,33,1
data.55 to 59 years,33,1
data.55 years and over,33,1
data.60 to 64 years,33,1
data.65 to 69 years,33,1
data.65 years and over,33,1
data.70 years and over,33,1
